DATE,VALUE
2007-05-03,1502.39
2007-05-04,1505.62
2007-05-07,1509.48
2007-05-08,1507.72
2007-05-09,1512.58
2007-05-10,1491.47
2007-05-11,1505.85
2007-05-14,1503.15
2007-05-15,1501.19
2007-05-16,1514.14
2007-05-17,1512.75
2007-05-18,1522.75
2007-05-21,1525.10
2007-05-22,1524.12
2007-05-23,1522.28
2007-05-24,1507.51
2007-05-25,1515.73
2007-05-28,.
2007-05-29,1518.11
2007-05-30,1530.23
2007-05-31,1530.62
2007-06-01,1536.34
2007-06-04,1539.18
2007-06-05,1530.95
2007-06-06,1517.38
2007-06-07,1490.72
2007-06-08,1507.67
2007-06-11,1509.12
2007-06-12,1493.00
2007-06-13,1515.67
2007-06-14,1522.97
2007-06-15,1532.91
2007-06-18,1531.05
2007-06-19,1533.70
2007-06-20,1512.84
2007-06-21,1522.19
2007-06-22,1502.56
2007-06-25,1497.74
2007-06-26,1492.89
2007-06-27,1506.34
2007-06-28,1505.71
2007-06-29,1503.35
2007-07-02,1519.43
2007-07-03,1524.87
2007-07-04,.
2007-07-05,1525.40
2007-07-06,1530.44
2007-07-09,1531.85
2007-07-10,1510.12
2007-07-11,1518.76
2007-07-12,1547.70
2007-07-13,1552.50
2007-07-16,1549.52
2007-07-17,1549.37
2007-07-18,1546.17
2007-07-19,1553.08
2007-07-20,1534.10
2007-07-23,1541.57
2007-07-24,1511.04
2007-07-25,1518.09
2007-07-26,1482.66
2007-07-27,1458.95
2007-07-30,1473.91
2007-07-31,1455.27
2007-08-01,1465.81
2007-08-02,1472.20
2007-08-03,1433.06
2007-08-06,1467.67
2007-08-07,1476.71
2007-08-08,1497.49
2007-08-09,1453.09
2007-08-10,1453.64
2007-08-13,1452.92
2007-08-14,1426.54
2007-08-15,1406.70
2007-08-16,1411.27
2007-08-17,1445.94
2007-08-20,1445.55
2007-08-21,1447.12
2007-08-22,1464.07
2007-08-23,1462.50
2007-08-24,1479.37
2007-08-27,1466.79
2007-08-28,1432.36
2007-08-29,1463.76
2007-08-30,1457.64
2007-08-31,1473.99
2007-09-03,.
2007-09-04,1489.42
2007-09-05,1472.29
2007-09-06,1478.55
2007-09-07,1453.55
2007-09-10,1451.70
2007-09-11,1471.49
2007-09-12,1471.56
2007-09-13,1483.95
2007-09-14,1484.25
2007-09-17,1476.65
2007-09-18,1519.78
2007-09-19,1529.03
2007-09-20,1518.75
2007-09-21,1525.75
2007-09-24,1517.73
2007-09-25,1517.21
2007-09-26,1525.42
2007-09-27,1531.38
2007-09-28,1526.75
2007-10-01,1547.04
2007-10-02,1546.63
2007-10-03,1539.59
2007-10-04,1542.84
2007-10-05,1557.59
2007-10-08,1552.58
2007-10-09,1565.15
2007-10-10,1562.47
2007-10-11,1554.41
2007-10-12,1561.80
2007-10-15,1548.71
2007-10-16,1538.53
2007-10-17,1541.24
2007-10-18,1540.08
2007-10-19,1500.63
2007-10-22,1506.33
2007-10-23,1519.59
2007-10-24,1515.88
2007-10-25,1514.40
2007-10-26,1535.28
2007-10-29,1540.98
2007-10-30,1531.02
2007-10-31,1549.38
2007-11-01,1508.44
2007-11-02,1509.65
2007-11-05,1502.17
2007-11-06,1520.27
2007-11-07,1475.62
2007-11-08,1474.77
2007-11-09,1453.70
2007-11-12,1439.18
2007-11-13,1481.05
2007-11-14,1470.58
2007-11-15,1451.15
2007-11-16,1458.74
2007-11-19,1433.27
2007-11-20,1439.70
2007-11-21,1416.77
2007-11-22,.
2007-11-23,1440.70
2007-11-26,1407.22
2007-11-27,1428.23
2007-11-28,1469.02
2007-11-29,1469.72
2007-11-30,1481.14
2007-12-03,1472.42
2007-12-04,1462.79
2007-12-05,1485.01
2007-12-06,1507.34
2007-12-07,1504.66
2007-12-10,1515.96
2007-12-11,1477.65
2007-12-12,1486.59
2007-12-13,1488.41
2007-12-14,1467.95
2007-12-17,1445.90
2007-12-18,1454.98
2007-12-19,1453.00
2007-12-20,1460.12
2007-12-21,1484.46
2007-12-24,1496.45
2007-12-25,.
2007-12-26,1497.66
2007-12-27,1476.37
2007-12-28,1478.49
2007-12-31,1468.36
2008-01-01,.
2008-01-02,1447.16
2008-01-03,1447.16
2008-01-04,1411.63
2008-01-07,1416.18
2008-01-08,1390.19
2008-01-09,1409.13
2008-01-10,1420.33
2008-01-11,1401.02
2008-01-14,1416.25
2008-01-15,1380.95
2008-01-16,1373.20
2008-01-17,1333.25
2008-01-18,1325.19
2008-01-21,.
2008-01-22,1310.50
2008-01-23,1338.60
2008-01-24,1352.07
2008-01-25,1330.61
2008-01-28,1353.97
2008-01-29,1362.30
2008-01-30,1355.81
2008-01-31,1378.55
2008-02-01,1395.42
2008-02-04,1380.82
2008-02-05,1336.64
2008-02-06,1326.45
2008-02-07,1336.91
2008-02-08,1331.29
2008-02-11,1339.13
2008-02-12,1348.86
2008-02-13,1367.21
2008-02-14,1348.86
2008-02-15,1349.99
2008-02-18,.
2008-02-19,1348.78
2008-02-20,1360.03
2008-02-21,1342.53
2008-02-22,1353.11
2008-02-25,1371.80
2008-02-26,1381.29
2008-02-27,1380.02
2008-02-28,1367.68
2008-02-29,1330.63
2008-03-03,1331.34
2008-03-04,1326.75
2008-03-05,1333.70
2008-03-06,1304.34
2008-03-07,1293.37
2008-03-10,1273.37
2008-03-11,1320.65
2008-03-12,1308.77
2008-03-13,1315.48
2008-03-14,1288.14
2008-03-17,1276.60
2008-03-18,1330.74
2008-03-19,1298.42
2008-03-20,1329.51
2008-03-21,.
2008-03-24,1349.88
2008-03-25,1352.99
2008-03-26,1341.13
2008-03-27,1325.76
2008-03-28,1315.22
2008-03-31,1322.70
2008-04-01,1370.18
2008-04-02,1367.53
2008-04-03,1369.31
2008-04-04,1370.40
2008-04-07,1372.54
2008-04-08,1365.54
2008-04-09,1354.49
2008-04-10,1360.55
2008-04-11,1332.83
2008-04-14,1328.32
2008-04-15,1334.43
2008-04-16,1364.71
2008-04-17,1365.56
2008-04-18,1390.33
2008-04-21,1388.17
2008-04-22,1375.94
2008-04-23,1379.93
2008-04-24,1388.82
2008-04-25,1397.84
2008-04-28,1396.37
2008-04-29,1390.94
2008-04-30,1385.59
2008-05-01,1409.34
2008-05-02,1413.90
2008-05-05,1407.49
2008-05-06,1418.26
2008-05-07,1392.57
2008-05-08,1397.68
2008-05-09,1388.28
2008-05-12,1403.58
2008-05-13,1403.04
2008-05-14,1408.66
2008-05-15,1423.57
2008-05-16,1425.35
2008-05-19,1426.63
2008-05-20,1413.40
2008-05-21,1390.71
2008-05-22,1394.35
2008-05-23,1375.93
2008-05-26,.
2008-05-27,1385.35
2008-05-28,1390.84
2008-05-29,1398.26
2008-05-30,1400.38
2008-06-02,1385.67
2008-06-03,1377.65
2008-06-04,1377.20
2008-06-05,1404.05
2008-06-06,1360.68
2008-06-09,1361.76
2008-06-10,1358.44
2008-06-11,1335.49
2008-06-12,1339.87
2008-06-13,1360.03
2008-06-16,1360.14
2008-06-17,1350.93
2008-06-18,1337.81
2008-06-19,1342.83
2008-06-20,1317.93
2008-06-23,1318.00
2008-06-24,1314.29
2008-06-25,1321.97
2008-06-26,1283.15
2008-06-27,1278.38
2008-06-30,1280.00
2008-07-01,1284.91
2008-07-02,1261.52
2008-07-03,1262.90
2008-07-04,.
2008-07-07,1252.31
2008-07-08,1273.70
2008-07-09,1244.69
2008-07-10,1253.39
2008-07-11,1239.49
2008-07-14,1228.30
2008-07-15,1214.91
2008-07-16,1245.36
2008-07-17,1260.32
2008-07-18,1260.68
2008-07-21,1260.00
2008-07-22,1277.00
2008-07-23,1282.19
2008-07-24,1252.54
2008-07-25,1257.76
2008-07-28,1234.37
2008-07-29,1263.20
2008-07-30,1284.26
2008-07-31,1267.38
2008-08-01,1260.31
2008-08-04,1249.01
2008-08-05,1284.88
2008-08-06,1289.19
2008-08-07,1266.07
2008-08-08,1296.32
2008-08-11,1305.32
2008-08-12,1289.59
2008-08-13,1285.83
2008-08-14,1292.93
2008-08-15,1298.20
2008-08-18,1278.60
2008-08-19,1266.69
2008-08-20,1274.54
2008-08-21,1277.72
2008-08-22,1292.20
2008-08-25,1266.84
2008-08-26,1271.51
2008-08-27,1281.66
2008-08-28,1300.68
2008-08-29,1282.83
2008-09-01,.
2008-09-02,1277.58
2008-09-03,1274.98
2008-09-04,1236.83
2008-09-05,1242.31
2008-09-08,1267.79
2008-09-09,1224.51
2008-09-10,1232.04
2008-09-11,1249.05
2008-09-12,1251.70
2008-09-15,1192.70
2008-09-16,1213.59
2008-09-17,1156.39
2008-09-18,1206.51
2008-09-19,1255.08
2008-09-22,1207.09
2008-09-23,1188.22
2008-09-24,1185.87
2008-09-25,1209.18
2008-09-26,1213.01
2008-09-29,1106.39
2008-09-30,1166.36
2008-10-01,1161.06
2008-10-02,1114.28
2008-10-03,1099.23
2008-10-06,1056.89
2008-10-07,996.23
2008-10-08,984.94
2008-10-09,909.92
2008-10-10,899.22
2008-10-13,1003.35
2008-10-14,998.01
2008-10-15,907.84
2008-10-16,946.43
2008-10-17,940.55
2008-10-20,985.40
2008-10-21,955.05
2008-10-22,896.78
2008-10-23,908.11
2008-10-24,876.77
2008-10-27,848.92
2008-10-28,940.51
2008-10-29,930.09
2008-10-30,954.09
2008-10-31,968.75
2008-11-03,966.30
2008-11-04,1005.75
2008-11-05,952.77
2008-11-06,904.88
2008-11-07,930.99
2008-11-10,919.21
