                  Mean            SD         Naive SE        MCSE         ESS    
      y[95]    1.1440000000  0.4748573359 0.01501630745 0.09861485126   23.186845
     y[186]    2.9850000000  0.1574795218 0.00497993974 0.01293144316  148.304451
      y[68]    1.6040000000  0.5305331898 0.01677693254 0.10580065112   25.144814
     y[106]    2.9680000000  0.2510757635 0.00793971278 0.03200000000   61.561562
     y[167]    1.8580000000  0.3999949950 0.01264895237 0.07150446761   31.292680
     y[178]    2.9980000000  0.0446989709 0.00141350557 0.00200000000  499.499499
      y[41]    2.4980000000  0.5002461856 0.01581917337 0.14424362108   12.027472
      y[71]    1.3310000000  0.6692435184 0.02116333827 0.13430024406   24.832174
     y[139]    1.4250000000  0.5391341815 0.01704891978 0.06476024158   69.306954
      y[39]    1.3120000000  0.4635416603 0.01465847437 0.14370339824   10.405033
      y[14]    2.1030000000  0.8191837780 0.02590486561 0.25679239345   10.176499
     y[145]    1.8130000000  0.4002389176 0.01265666588 0.09017328996   19.700752
      y[93]    1.0480000000  0.2138731908 0.00676326413 0.02528943565   71.521139
theta[2][1]    0.6938206974  0.1421127465 0.00449399964 0.04311051265   10.866750
theta[2][2]    0.2441545400  0.1391567709 0.00440052348 0.04208178370   10.935041
theta[2][3]    0.0620247626  0.0359623284 0.00113722868 0.00744852155   23.310707
      y[28]    1.9350000000  0.2735870060 0.00865158077 0.06500000000   17.715941
     y[200]    2.9810000000  0.1365930366 0.00431945108 0.00993870101  188.885173
      y[90]    1.4440000000  0.5226252358 0.01652686108 0.10616758241   24.232426
     y[162]    1.9700000000  0.2778078062 0.00878505419 0.03881580434   51.223790
      y[11]    1.6140000000  0.5130957681 0.01622551285 0.15173222027   11.435134
     y[154]    1.9600000000  0.3354288487 0.01060719155 0.04361447262   59.147933
     y[109]    2.9900000000  0.1411379464 0.00446317375 0.01000000000  199.199199
     y[148]    1.7830000000  0.4337039302 0.01371492250 0.10932164572   15.738901
      y[54]    1.8610000000  0.3461196308 0.01094526376 0.07854864027   19.416687
     y[191]    2.9760000000  0.1935496357 0.00612057689 0.01400000000  191.129905
       y[4]    2.9740000000  0.2266613672 0.00716766178 0.02600000000   75.999076
      y[83]    1.8620000000  0.3536680380 0.01118396536 0.06327716808   31.239031
     y[127]    1.4000000000  0.7379326152 0.02333547824 0.13732362425   28.876390
      y[77]    1.4490000000  0.5862957809 0.01854030050 0.15692496438   13.958844
      y[66]    2.1780000000  0.9355165371 0.02958363046 0.23415474465   15.962357
      y[43]    1.6540000000  0.4759312035 0.01505026613 0.14654692081   10.547146
      y[50]    1.7400000000  0.7829514755 0.02475909960 0.21931205571   12.745142
      y[48]    2.0210000000  0.5787001762 0.01830010639 0.13132191152   19.419267
      y[85]    1.8990000000  0.4158989925 0.01315188093 0.05526602332   56.631662
