                  Mean             SD          Naive SE          MCSE           ESS    
      y[95]    1.29600000000  0.4567193806 0.0144427349416  0.110314701347   17.1408398
     y[186]    2.93800000000  0.3439102707 0.0108753976605  0.034570379100   98.9650863
      y[68]    1.00800000000  0.1263010370 0.0039939894782  0.008000000000  249.2492492
     y[106]    2.56800000000  0.5707028138 0.0180472075874  0.142328259082   16.0782121
     y[167]    1.23200000000  0.5463281747 0.0172764138198  0.073677978015   54.9834262
     y[178]    2.88700000000  0.4609158746 0.0145754397341  0.070270113767   43.0231316
      y[41]    2.81100000000  0.3917045218 0.0123867845881  0.126019839708    9.6613836
      y[71]    1.18900000000  0.3917045218 0.0123867845881  0.126019839708    9.6613836
     y[139]    1.00800000000  0.1263010370 0.0039939894782  0.008000000000  249.2492492
      y[39]    1.00000000000  0.0000000000 0.0000000000000  0.000000000000 1000.0000000
      y[14]    1.00000000000  0.0000000000 0.0000000000000  0.000000000000 1000.0000000
     y[145]    1.19900000000  0.5075989132 0.0160516870346  0.094309773265   28.9686306
      y[93]    1.64000000000  0.4885065390 0.0154479331510  0.127375211264   14.7085861
theta[2][1]    0.46861221295  0.1134807465 0.0035885762956  0.021268373663   28.4692355
theta[2][2]    0.19419037673  0.0819446035 0.0025913158895  0.013680848166   35.8768802
theta[2][3]    0.33719741033  0.1003561326 0.0031735395628  0.009965434258  101.4134078
      y[28]    1.80700000000  0.3948504868 0.0124862687344  0.128772409053    9.4019885
     y[200]    2.83900000000  0.5379297058 0.0170108309135  0.081669387710   43.3842862
      y[90]    1.33200000000  0.7445336328 0.0235442207416  0.200426212524   13.7993809
     y[162]    1.34100000000  0.6520307847 0.0206190238407  0.110307146943   34.9404825
      y[11]    1.00000000000  0.0000000000 0.0000000000000  0.000000000000 1000.0000000
     y[154]    1.23000000000  0.5633980985 0.0178162122074  0.084931344822   44.0042630
     y[109]    2.92400000000  0.3825838083 0.0120983623012  0.053731844479   50.6978654
     y[148]    1.36400000000  0.6495582545 0.0205408355703  0.104277407801   38.8021472
      y[54]    1.00800000000  0.1263010370 0.0039939894782  0.008000000000  249.2492492
     y[191]    2.88300000000  0.4489014508 0.0141955102942  0.053396837193   70.6758354
