                  Mean            SD         Naive SE        MCSE          ESS    
      y[95]    1.0290000000  0.1678904023 0.00530916069 0.02900000000   33.5162749
     y[186]    1.9870000000  0.1133306836 0.00358383089 0.01300000000   75.9990760
      y[68]    2.2600000000  0.9577668387 0.03028724678 0.23103631268   17.1853786
     y[106]    2.0070000000  0.0834143750 0.00263779415 0.00700000000  141.9991420
     y[167]    1.0470000000  0.2843798022 0.00899287895 0.04274082098   44.2702297
     y[178]    1.9880000000  0.1089397442 0.00344497719 0.01200000000   82.4157491
      y[41]    1.7150000000  0.4516403204 0.01428212096 0.14527560015    9.6649599
      y[71]    1.3040000000  0.4602127723 0.01455320569 0.12835887192   12.8548067
     y[139]    2.2330000000  0.9600169960 0.03035840300 0.09366666667  105.0479818
      y[39]    2.0240000000  0.7707256438 0.02437248486 0.24833310962    9.6323081
      y[14]    1.0600000000  0.3106388522 0.00982326303 0.06000000000   26.8045824
     y[145]    1.0820000000  0.3733837375 0.01180743052 0.05253147205   50.5209671
      y[93]    1.2030000000  0.4312504806 0.01363733761 0.10757994443   16.0692850
theta[2][1]    0.0699791995  0.0381068067 0.00120504304 0.00623550198   37.3475633
theta[2][2]    0.8139381298  0.0585997624 0.00185308720 0.00986714720   35.2702466
theta[2][3]    0.1160826707  0.0481990661 0.00152418830 0.00834703671   33.3436086
      y[28]    1.2260000000  0.4302430814 0.01360548085 0.13481839637   10.1842600
     y[200]    1.9590000000  0.2033724671 0.00643120209 0.01797838208  127.9626137
      y[90]    2.4890000000  0.8453363790 0.02673188347 0.12705598066   44.2658587
     y[162]    1.0240000000  0.1773568591 0.00560851633 0.02186829262   65.7758130
      y[11]    1.0200000000  0.1400700525 0.00442940398 0.02000000000   49.0490490
     y[154]    1.0310000000  0.2146743699 0.00678859964 0.02469592859   75.5630836
     y[109]    2.0000000000  0.0000000000 0.00000000000 0.00000000000 1000.0000000
     y[148]    1.0330000000  0.1998773398 0.00632067646 0.03300000000   36.6859054
      y[54]    2.3710000000  0.7719811882 0.02441218866 0.19210211405   16.1491306
     y[191]    1.9760000000  0.1595288358 0.00504474474 0.01194431524  178.3839915
       y[4]    2.0000000000  0.0000000000 0.00000000000 0.00000000000 1000.0000000
      y[83]    1.0050000000  0.0835582550 0.00264234403 0.00500000000  279.2792793
     y[127]    2.2830000000  0.8518430822 0.02693764349 0.10341985625   67.8439839
      y[77]    2.4040000000  0.8919526779 0.02820602027 0.20864749646   18.2749952
      y[66]    1.5840000000  0.4931401294 0.01559446014 0.14248742635   11.9780909
      y[43]    2.7270000000  0.4457237594 0.01409502287 0.12235694595   13.2701036
      y[50]    1.2330000000  0.4504596696 0.01424478550 0.13966666667   10.4022262
      y[48]    2.0760000000  0.7394394977 0.02338313005 0.21191298004   12.1755944
      y[85]    1.0220000000  0.1534260067 0.00485175634 0.02200000000   48.6354123
      y[16]    1.0120000000  0.1089397442 0.00344497719 0.01200000000   82.4157491
     y[179]    1.9880000000  0.1089397442 0.00344497719 0.01200000000   82.4157491
     y[161]    1.0520000000  0.2671467151 0.00844792089 0.02796028930   91.2885597
     y[113]    1.8070000000  0.8868695155 0.02804527656 0.16930610017   27.4393767
      y[99]    1.0710000000  0.2646299851 0.00836833490 0.06880649194   14.7917403
     y[163]    1.0710000000  0.3317665882 0.01049138070 0.02888482877  131.9245734
     y[123]    2.3280000000  0.9226414619 0.02917648483 0.12558131496   53.9778873
      y[76]    2.5880000000  0.7475391728 0.02363926426 0.11319403204   43.6134910
      y[98]    2.1910000000  0.9671889445 0.03058519993 0.20164021865   23.0074416
     y[138]    1.0560000000  0.2982498164 0.00943148731 0.04139779919   51.9046017
     y[124]    1.0500000000  0.2785275167 0.00880781344 0.05000000000   31.0310310
     y[183]    1.9900000000  0.0995485304 0.00314800094 0.01000000000   99.0990991
       y[9]    2.9800000000  0.1400700525 0.00442940398 0.02000000000   49.0490490
      y[52]    1.0520000000  0.2708678079 0.00856559218 0.05200000000   27.1336425
       y[5]    2.0000000000  0.0000000000 0.00000000000 0.00000000000 1000.0000000
      y[40]    2.0000000000  0.0000000000 0.00000000000 0.00000000000 1000.0000000
     y[104]    1.8510000000  0.3562666500 0.01126614068 0.04938398301   52.0448919
     y[150]    1.1150000000  0.3433553449 0.01085784937 0.03847798794   79.6274699
      y[57]    2.9600000000  0.1960572326 0.00619987407 0.04000000000   24.0240240
     y[158]    1.0270000000  0.1905447646 0.00602555452 0.02290317785   69.2153708
     y[100]    1.8330000000  0.9338002907 0.02952935798 0.18341240719   25.9209305
     y[137]    1.1340000000  0.3770758361 0.01192418493 0.05554177607   46.0911856
     y[117]    2.5660000000  0.8064082677 0.02550086850 0.09023672571   79.8625709
     y[133]    1.9790000000  0.1434558454 0.00453647215 0.01622412470   78.1832909
     y[144]    2.0920000000  0.9841262645 0.03112080501 0.11027037479   79.6496632
      y[18]    1.9780000000  0.1467567291 0.00464085526 0.02200000000   44.4990445
     y[143]    1.0320000000  0.2168479260 0.00685733352 0.03200000000   45.9209209
      y[30]    1.5300000000  0.4993489255 0.01579079952 0.15787477457   10.0042089
     y[126]    2.5920000000  0.7642775151 0.02416857712 0.07316343956  109.1224070
      y[55]    2.9600000000  0.1960572326 0.00619987407 0.04000000000   24.0240240
     y[177]    2.0070000000  0.1138594044 0.00360055051 0.00803464720  200.8187189
      y[10]    2.9800000000  0.1400700525 0.00442940398 0.02000000000   49.0490490
      y[87]    1.9910000000  0.9898984286 0.03130333687 0.23002632700   18.5193688
     y[129]    2.0010000000  0.0316227766 0.00100000000 0.00100000000 1000.0000000
      y[47]    2.0000000000  0.0000000000 0.00000000000 0.00000000000 1000.0000000
     y[103]    2.0040000000  0.5461522519 0.01727085065 0.09441280516   33.4630602
     y[190]    2.2710000000  0.7000350342 0.02213705150 0.07045013997   98.7360684
     y[159]    2.3950000000  0.9087358256 0.02873675000 0.09349093836   94.4792119
     y[116]    2.5920000000  0.7963480208 0.02518273556 0.14539448255   29.9992196
     y[151]    1.0990000000  0.3054378698 0.00965879352 0.03500634863   76.1293527
      y[63]    1.3500000000  0.4772082645 0.01509065034 0.12795832655   13.9084524
     y[108]    2.0000000000  0.0000000000 0.00000000000 0.00000000000 1000.0000000
     y[155]    1.0230000000  0.1857565759 0.00587413870 0.02300000000   65.2277987
     y[156]    1.2090000000  0.5211435413 0.01648000578 0.06522525073   63.8385781
     y[119]    1.0670000000  0.2976568487 0.00941273603 0.04179447066   50.7217350
      y[51]    1.2330000000  0.4504596696 0.01424478550 0.13966666667   10.4022262
     y[130]    1.9880000000  0.1089397442 0.00344497719 0.01200000000   82.4157491
     y[192]    1.9780000000  0.1534260067 0.00485175634 0.01254325848  149.6157174
      y[65]    1.8200000000  0.3843796922 0.01215515314 0.10536708320   13.3079437
     y[149]    2.7250000000  0.6661972822 0.02106700783 0.11714426054   32.3417624
      y[69]    2.4030000000  0.9107252167 0.02879966007 0.25038658999   13.2297791
       y[1]    1.9970000000  0.0547174012 0.00173031615 0.00300000000  332.6659993
     y[118]    1.0080000000  0.1181099062 0.00373496318 0.00611010093  373.6593737
      y[33]    1.7150000000  0.4516403204 0.01428212096 0.14527560015    9.6649599
     y[197]    1.9280000000  0.2947929831 0.00932217265 0.01717879830  294.4751981
      y[22]    2.9420000000  0.3045139221 0.00962957573 0.05800000000   27.5650204
       y[6]    2.9790000000  0.1434558454 0.00453647215 0.02100000000   46.6657133
     y[193]    1.9390000000  0.2435946189 0.00770313821 0.01516208722  258.1174698
      y[74]    1.9810000000  0.1365930366 0.00431945108 0.01320353488  107.0228929
      y[73]    2.4470000000  0.7481649222 0.02365905219 0.20874253147   12.8461442
      y[23]    2.1620000000  0.4170490738 0.01318824969 0.10272725485   16.4817361
     y[176]    1.9860000000  0.1175492145 0.00371723255 0.01400000000   70.4990705
       y[8]    2.9420000000  0.3045139221 0.00962957573 0.05800000000   27.5650204
      y[84]    1.9200000000  0.9872054369 0.03121817699 0.18599880525   28.1705138
     y[110]    2.0000000000  0.0000000000 0.00000000000 0.00000000000 1000.0000000
     y[195]    2.0150000000  0.4036557171 0.01276471457 0.03066847821  173.2358466
      y[35]    2.2090000000  0.8579365099 0.02713033459 0.27149974422    9.9855376
       y[7]    2.9790000000  0.1434558454 0.00453647215 0.02100000000   46.6657133
      y[53]    1.2550000000  0.4360793106 0.01379003862 0.12409002109   12.3497239
     y[120]    2.3280000000  0.9084278955 0.02872701240 0.13686002582   44.0582952
      y[42]    2.7270000000  0.4457237594 0.01409502287 0.12235694595   13.2701036
      y[79]    2.7250000000  0.6781112260 0.02144375981 0.11865215267   32.6625904
     y[152]    2.2020000000  0.9560910574 0.03023425392 0.14134119475   45.7573639
      y[32]    1.7150000000  0.4516403204 0.01428212096 0.14527560015    9.6649599
  phi[3][1]    0.0352560173  0.0385333808 0.00121853249 0.00669059402   33.1699542
  phi[3][2]    0.0019756033  0.0069649856 0.00022025218 0.00031484632  489.3766067
  phi[3][3]    0.0014590451  0.0050604545 0.00016002562 0.00017735916  814.0888682
  phi[3][4]    0.0017767814  0.0055429664 0.00017528399 0.00012154851 1000.0000000
  phi[3][5]    0.0382702225  0.0276152088 0.00087326958 0.00138122835  399.7290375
  phi[3][6]    0.8535036404  0.0884215185 0.00279613393 0.01304488163   45.9447246
  phi[3][7]    0.0076658955  0.0324235396 0.00102532235 0.00548292618   34.9700337
  phi[3][8]    0.0053451416  0.0256744083 0.00081189608 0.00302117449   72.2186340
  phi[3][9]    0.0478295970  0.0317759600 0.00100484408 0.00254784814  155.5429320
 phi[3][10]    0.0069180560  0.0273715037 0.00086556295 0.00299999960   83.2443793
     y[174]    1.9850000000  0.1295831462 0.00409777889 0.00819891592  249.7952498
      y[89]    2.4950000000  0.8418335249 0.02662111349 0.16941238312   24.6923333
      y[38]    2.5980000000  0.7765301018 0.02455603793 0.23852230271   10.5988465
     y[157]    1.0270000000  0.2007767698 0.00634911894 0.01977933827  103.0394211
     y[184]    2.0090000000  0.0944877131 0.00298796384 0.00406885187  539.2708144
     y[194]    2.0690000000  0.2651590265 0.00838506466 0.01369914839  374.6499608
    elapsed    4.1736125927  0.5654722325 0.01788180208 0.12456594954   20.6074323
     y[173]    1.9840000000  0.1255378818 0.00396985639 0.01492201952   70.7773642
      y[88]    1.0690000000  0.2535809601 0.00801893405 0.04963085958   26.1053602
     y[196]    1.9730000000  0.1682239558 0.00531970857 0.01358512258  153.3375639
      y[60]    2.4210000000  0.8812125371 0.02786638720 0.24104609979   13.3647585
      y[70]    2.3690000000  0.9250376720 0.02925225965 0.20731323590   19.9097029
theta[1][1]    0.5455244690  0.1029781297 0.00325645439 0.02105907761   23.9117471
theta[1][2]    0.1187454124  0.0643372771 0.00203452334 0.00765526816   70.6324931
