                  Mean             SD         Naive SE        MCSE         ESS   
  phi[2][1]    0.04057368199  0.0597803325 0.00189042010 0.00702925570  72.326587
  phi[2][2]    0.00588638139  0.0317945212 0.00100543104 0.00336513359  89.268854
  phi[2][3]    0.00390804902  0.0162376560 0.00051347977 0.00136576502 141.349639
  phi[2][4]    0.40130901986  0.3130153448 0.00989841432 0.09743728818  10.320028
  phi[2][5]    0.29358957210  0.2270068109 0.00717858567 0.06282467302  13.056215
  phi[2][6]    0.01253105712  0.0490224344 0.00155022549 0.00586514407  69.860611
  phi[2][7]    0.00167202293  0.0082641799 0.00026133631 0.00108594239  57.914319
  phi[2][8]    0.17633409047  0.1471568255 0.00465350742 0.03451280851  18.180265
  phi[2][9]    0.01546945081  0.0439884185 0.00139103593 0.00713873637  37.969424
 phi[2][10]    0.04872667430  0.0689627999 0.00218079522 0.01289373192  28.607012
         lp -425.19071453512 27.0328187759 0.85485278907 4.19801335082  41.466276
theta[2][1]    0.18125895301  0.0965229921 0.00305232502 0.01142911690  71.324084
theta[2][2]    0.51850482520  0.2576415385 0.00814734081 0.07691296910  11.221027
theta[2][3]    0.30023622180  0.2398887806 0.00758594932 0.07045628502  11.592588
theta[3][1]    0.44418646520  0.2063528677 0.00652545064 0.04114266053  25.155692
theta[3][2]    0.20272386953  0.1553891163 0.00491383531 0.03400650579  20.879360
theta[3][3]    0.35308966527  0.2056028030 0.00650173151 0.04181734804  24.173809
    elapsed    0.08305792973  0.0032890381 0.00010400852 0.00033687718  95.322323
theta[1][1]    0.62568260166  0.2659407519 0.00840978499 0.07149677916  13.835563
theta[1][2]    0.07463186633  0.0546809963 0.00172916493 0.01014749273  29.037240
theta[1][3]    0.29968553200  0.2429782020 0.00768364540 0.06499233354  13.976884
  phi[1][1]    0.02458927676  0.0256815389 0.00081212157 0.00454973391  31.861784
  phi[1][2]    0.00096368827  0.0091276346 0.00028864115 0.00061994353 216.776514
  phi[1][3]    0.00206047690  0.0102962663 0.00032559653 0.00139650620  54.359292
  phi[1][4]    0.02257165417  0.0374048999 0.00118284679 0.00581024119  41.444669
  phi[1][5]    0.00486484449  0.0399369370 0.00126291684 0.00486482349  67.393084
  phi[1][6]    0.58054200435  0.1705101203 0.00539200344 0.02338570788  53.161751
  phi[1][7]    0.14341836186  0.1086168319 0.00343476581 0.03001486316  13.095483
  phi[1][8]    0.02701243350  0.0528429496 0.00167104079 0.00873614994  36.587602
  phi[1][9]    0.01897821159  0.0289709285 0.00091614120 0.00331570131  76.343845
 phi[1][10]    0.17499904810  0.1662865875 0.00525844361 0.03887943839  18.292559
  phi[3][1]    0.07342682280  0.1321919479 0.00418027644 0.02455903712  28.972591
  phi[3][2]    0.00571532974  0.0242203760 0.00076591554 0.00324494515  55.711781
  phi[3][3]    0.00472223822  0.0185202853 0.00058566284 0.00250051691  54.857467
  phi[3][4]    0.30439282366  0.3586573680 0.01134174182 0.11032182583  10.569067
  phi[3][5]    0.01932439035  0.0744230781 0.00235346437 0.01043610460  50.855556
  phi[3][6]    0.18878896148  0.2448899107 0.00774409894 0.06309791236  15.063011
  phi[3][7]    0.08582959166  0.1263387399 0.00399518175 0.03270200950  14.925339
  phi[3][8]    0.01145043187  0.0284253481 0.00089888843 0.00540578636  27.649917
  phi[3][9]    0.01999712741  0.0295601709 0.00093477468 0.00555818949  28.284414
 phi[3][10]    0.28635228282  0.2632001268 0.00832311881 0.06407228254  16.874534

