                        Mean                        SD                     Naive SE                    MCSE               ESS    
  phi[2][1]    0.0474741872784317023304  0.0226456885790102917244 0.00071611955092534460270 0.00189290106410505741888  143.124911
  phi[2][2]    0.0020444427161411446968  0.0041239774279532457821 0.00013041161691455203106 0.00031445896641653522073  171.990553
  phi[2][3]    0.0022946392781337744855  0.0041329614958716493975 0.00013069571808731005437 0.00053915980076791529367   58.760801
  phi[2][4]    0.0175645529177593101577  0.0231256580318223263493 0.00073129751770725185279 0.00331770871543825892486   48.586061
  phi[2][5]    0.0015489722828369958171  0.0048722878811941622290 0.00015407527120609427573 0.00088123169380591246779   30.569312
  phi[2][6]    0.6635400592332639790882  0.0852814904343350416172 0.00269683752026361051035 0.02127501960777564496419   16.068289
  phi[2][7]    0.1816830256866945325633  0.0482567398434163227772 0.00152601210359392769171 0.00729782950072965092003   43.724870
  phi[2][8]    0.0060580778836043557359  0.0117027033515217475379 0.00037007197372094846393 0.00156596368767185768582   55.848179
  phi[2][9]    0.0236225583503163749644  0.0161125802111714636067 0.00050952452449458624038 0.00213925530944200680342   56.728976
 phi[2][10]    0.0541694843728179609155  0.0853648714559234883525 0.00269947425968212204386 0.02616818842299641068028   10.641701
         lp -429.4184165550290686041990 14.3691434411810110560737 0.45439221299801707543153 1.36506705600185918036971  110.803579
theta[2][1]    0.0795440594979816006926  0.0384703163988773452764 0.00121653822127779087658 0.00205512428380782074741  350.409066
theta[2][2]    0.7328389043233347610595  0.0985512281925616101530 0.00311646347295493767252 0.02691697534960639515145   13.405147
theta[2][3]    0.1876170361786834994700  0.0916900707020104205336 0.00289949462240226803547 0.02624710652365796342833   12.203425
theta[3][1]    0.3373676894097052403332  0.1398318686586765557944 0.00442187194438931844426 0.03124619704889021465366   20.027096
theta[3][2]    0.5253303335434774679058  0.1468060979470421079096 0.00464241643914422262573 0.03229166927384800878098   20.668416
theta[3][3]    0.1373019770468172084943  0.0711112962295442491145 0.00224873663452303685500 0.00425135091775983003232  279.784262
    elapsed    0.0413959742550000092676  0.0113980375323566741202 0.00036043759458332232061 0.00017125782613189281128 1000.000000
theta[1][1]    0.5914161039743200953822  0.0775464938356991567714 0.00245223545081016359656 0.00558162831116068309384  193.020087
theta[1][2]    0.1913046448361024609586  0.0676242826108480327152 0.00213846758185197742194 0.00855566045240839165298   62.473849
theta[1][3]    0.2172792511895775546815  0.0769755915232969850637 0.00243418193452368510424 0.01256594973879739292333   37.524545
  phi[1][1]    0.0301593603142339752865  0.0364360921350395453033 0.00115221040182472331780 0.00773309545704786802794   22.200198
  phi[1][2]    0.0031590902343428457245  0.0070842813245364597702 0.00022402464570929703442 0.00124171090728371542357   32.549971
  phi[1][3]    0.0039108956077159792719  0.0085064320304112997495 0.00026899699977510398369 0.00099637339438025029556   72.887093
  phi[1][4]    0.7439138038483679160606  0.0920263190971322836420 0.00291012773028388131019 0.00897898710982920032764  105.043554
  phi[1][5]    0.1858968750954109461215  0.0612192371663255463510 0.00193592226063621039057 0.00304751394548390380085  403.537988
  phi[1][6]    0.0026913527088000843181  0.0111425893981756569950 0.00035235961530279906028 0.00166899333131051387166   44.572095
  phi[1][7]    0.0151179254867317147681  0.0443359595784518570327 0.00140202614517066586307 0.00371963254400425099438  142.073195
  phi[1][8]    0.0000044649364708243051  0.0000160767189066701084 0.00000050839049047369502 0.00000267407085623311628   36.145065
  phi[1][9]    0.0030122137612626246825  0.0086041131933902344209 0.00027208594937017951086 0.00134941731299008946601   40.655534
 phi[1][10]    0.0121340180066632011280  0.0320547545027869001943 0.00101366034066344774985 0.00738815851099431254029   18.824025
  phi[3][1]    0.0000184016260463682043  0.0001426904456363876591 0.00000451226808555419347 0.00001833997173191048144   60.533037
  phi[3][2]    0.0052726338798512704942  0.0116974794609697851228 0.00036990677979703210070 0.00180893366509832513762   41.815693
  phi[3][3]    0.0000000000015463111486  0.0000000000145833489263 0.00000000000046116598520 0.00000000000150304898900   94.138714
  phi[3][4]    0.0117556022825155981337  0.0401493455989744701951 0.00126963378658016606479 0.00654369678624831287161   37.645287
  phi[3][5]    0.0000000000000002098564  0.0000000000000014378721 0.00000000000000004546951 0.00000000000000020959892   47.061140
  phi[3][6]    0.0001305269918056411451  0.0007078694375051576126 0.00002238479708538516777 0.00010184727836766072529   48.306711
  phi[3][7]    0.0219729766803323303681  0.0691921547100788625340 0.00218804805098596691360 0.01174101525346125420024   34.729810
  phi[3][8]    0.2724612018633606469464  0.2023690153764838850492 0.00639947016435326188760 0.05212134534101560412456   15.074982
  phi[3][9]    0.0081223019600119936851  0.0226551646957475309729 0.00071641921204797784969 0.00487125000684103526272   21.629855
 phi[3][10]    0.6802663547145297862073  0.2203741701621131643396 0.00696884315181795464811 0.06005983618239767868330   13.463349

