                  Mean            SD         Naive SE        MCSE         ESS   
  phi[2][1]    0.0395454767  0.0718281189 0.00227140456 0.00731667341  96.374391
  phi[2][2]    0.0018439494  0.0056869098 0.00017983588 0.00022930982 615.045707
  phi[2][3]    0.0021287989  0.0061716506 0.00019516473 0.00027480761 504.365240
  phi[2][4]    0.2931287157  0.3135525382 0.00991540187 0.07318172915  18.357575
  phi[2][5]    0.0717939815  0.1004664143 0.00317702697 0.01906138550  27.780041
  phi[2][6]    0.2759621311  0.3117931468 0.00985976503 0.07349410785  17.998159
  phi[2][7]    0.0988370972  0.1391323587 0.00439975150 0.02255232643  38.060422
  phi[2][8]    0.0661524954  0.0971603185 0.00307247905 0.01368229569  50.426627
  phi[2][9]    0.0155425629  0.0299414370 0.00094683137 0.00316812056  89.318595
 phi[2][10]    0.1350647911  0.1799082534 0.00568919851 0.01717135178 109.772411
         lp -421.0967404067 12.5940171364 0.39825779042 1.10827318965 129.132306
theta[2][1]    0.1967383845  0.1706821430 0.00539744328 0.02152283280  62.889380
theta[2][2]    0.5628321939  0.2429870553 0.00768392537 0.02669639018  82.844025
theta[2][3]    0.2404294216  0.1832143014 0.00579374492 0.02395829412  58.479945
theta[3][1]    0.2525472188  0.1943532139 0.00614598827 0.01775071766 119.881349
theta[3][2]    0.2720540335  0.2263263013 0.00715706607 0.04217353497  28.799838
theta[3][3]    0.4753987477  0.2811022405 0.00888923335 0.03605839564  60.773719
    elapsed    0.9067388727  0.1725682390 0.00545708687 0.02320942023  55.283197
theta[1][1]    0.5044187309  0.2606026771 0.00824098024 0.03837619682  46.114115
theta[1][2]    0.2192161431  0.1743981322 0.00551495318 0.01555726760 125.665775
theta[1][3]    0.2763651260  0.2035835787 0.00643787803 0.03247747108  39.293533
  phi[1][1]    0.0545961309  0.0892227377 0.00282147070 0.00818815818 118.734969
  phi[1][2]    0.0017442153  0.0064973671 0.00020546479 0.00035622142 332.686172
  phi[1][3]    0.0020834017  0.0066941318 0.00021168703 0.00026739451 626.734429
  phi[1][4]    0.3209450263  0.3260906389 0.01031189143 0.06916263580  22.229699
  phi[1][5]    0.0799937962  0.1087931989 0.00344034302 0.01963764127  30.691976
  phi[1][6]    0.1983503243  0.2740139835 0.00866508299 0.05690256375  23.188987
  phi[1][7]    0.0711874304  0.1265132362 0.00400069981 0.01773536413  50.885226
  phi[1][8]    0.0736728936  0.1082778576 0.00342404650 0.01149633166  88.707582
  phi[1][9]    0.0224722185  0.0873877857 0.00276344443 0.00641126535 185.786420
 phi[1][10]    0.1749545629  0.2142977723 0.00677669058 0.02887790744  55.068579
  phi[3][1]    0.0504740300  0.0809298592 0.00255922686 0.00782080418 107.081574
  phi[3][2]    0.0021349626  0.0096776310 0.00030603356 0.00038941618 617.604053
  phi[3][3]    0.0024277361  0.0095901744 0.00030326794 0.00043204957 492.703733
  phi[3][4]    0.1731353117  0.2734727236 0.00864796684 0.05493736119  24.779494
  phi[3][5]    0.0416015397  0.0915650161 0.00289554005 0.01530037117  35.814197
  phi[3][6]    0.3220828059  0.3095904982 0.00979011116 0.06595769204  22.031514
  phi[3][7]    0.1028797901  0.1403904573 0.00443953607 0.01856370947  57.193365
  phi[3][8]    0.0505474009  0.0945044802 0.00298849407 0.00982053691  92.604978
  phi[3][9]    0.0220488181  0.0476904725 0.00150810516 0.00237507965 403.187344
 phi[3][10]    0.2326676049  0.2434480749 0.00769850409 0.03529606361  47.572957

