                     Mean                  SD                 Naive SE                 MCSE              ESS    
      y[95] 1.0120000000000000107 0.154531161517281468 0.00488670439865970720 0.01200000000000001066  165.832499
     y[186] 2.9940000000000002167 0.077265580758640748 0.00244335219932985404 0.00600000000000000446  165.832499
      y[68] 2.0000000000000000000 0.000000000000000000 0.00000000000000000000 0.00000000000000000000 1000.000000
     y[106] 2.9489999999999998437 0.245885053347004612 0.00777556811168542833 0.05099999999999996897   23.244698
     y[167] 1.6459999999999999076 0.932498554183089690 0.02948819346032497540 0.09915420089716601992   88.445165
     y[178] 3.0000000000000000000 0.000000000000000000 0.00000000000000000000 0.00000000000000000000 1000.000000
      y[41] 1.0120000000000000107 0.154531161517281468 0.00488670439865970720 0.01200000000000001066  165.832499
      y[71] 1.0120000000000000107 0.154531161517281468 0.00488670439865970720 0.01200000000000001066  165.832499
     y[139] 2.0059999999999997833 0.077265580758640748 0.00244335219932985404 0.00600000000000000446  165.832499
      y[39] 2.0000000000000000000 0.000000000000000000 0.00000000000000000000 0.00000000000000000000 1000.000000
      y[14] 1.9939999999999999947 0.077265580758640734 0.00244335219932985360 0.00600000000000000446  165.832499
     y[145] 1.5420000000000000373 0.886014120102508684 0.02801822658593906487 0.11077304124500088334   63.975417
      y[93] 1.0120000000000000107 0.154531161517281468 0.00488670439865970720 0.01200000000000001066  165.832499
theta[2][1] 0.3332151262773031530 0.007407867795871334 0.00023425734840364692 0.00057525234831369272  165.832499
theta[2][2] 0.3363930197041459236 0.007841563435864301 0.00024797200874026877 0.00060893065389823204  165.832499
theta[2][3] 0.3303918540185505903 0.015249431231735701 0.00048222935714391777 0.00118418300221191392  165.832499
      y[28] 2.9940000000000002167 0.077265580758640748 0.00244335219932985404 0.00600000000000000446  165.832499
     y[200] 3.0000000000000000000 0.000000000000000000 0.00000000000000000000 0.00000000000000000000 1000.000000
      y[90] 2.0059999999999997833 0.077265580758640748 0.00244335219932985404 0.00600000000000000446  165.832499
     y[162] 1.6699999999999999289 0.941268285870711763 0.02976551672633935552 0.13102162671355693790   51.610834
      y[11] 2.9940000000000002167 0.077265580758640748 0.00244335219932985404 0.00600000000000000446  165.832499
     y[154] 1.8160000000000000586 0.980359681497104840 0.03100169519728082287 0.13083662416243482807   56.145147
     y[109] 2.9940000000000002167 0.077265580758640748 0.00244335219932985404 0.00600000000000000446  165.832499
     y[148] 1.4170000000000000373 0.803589918277200055 0.02541174446504523149 0.19423954283306990587   17.115661
      y[54] 2.0000000000000000000 0.000000000000000000 0.00000000000000000000 0.00000000000000000000 1000.000000
     y[191] 2.9990000000000001101 0.031622776601683909 0.00100000000000000371 0.00099999999999997877 1000.000000
       y[4] 2.9879999999999999893 0.154531161517281468 0.00488670439865970720 0.01200000000000001066  165.832499
      y[83] 1.0900000000000000799 0.414815708564744479 0.01311762448281208505 0.08999999999999998279   21.243466
     y[127] 2.0059999999999997833 0.077265580758640748 0.00244335219932985404 0.00600000000000000446  165.832499
      y[77] 2.0059999999999997833 0.077265580758640748 0.00244335219932985404 0.00600000000000000446  165.832499
      y[66] 1.0120000000000000107 0.154531161517281468 0.00488670439865970720 0.01200000000000001066  165.832499
      y[43] 2.0000000000000000000 0.000000000000000000 0.00000000000000000000 0.00000000000000000000 1000.000000
      y[50] 1.0120000000000000107 0.154531161517281468 0.00488670439865970720 0.01200000000000001066  165.832499
      y[48] 2.0059999999999997833 0.077265580758640748 0.00244335219932985404 0.00600000000000000446  165.832499
      y[85] 1.0900000000000000799 0.414815708564744479 0.01311762448281208505 0.08999999999999998279   21.243466
      y[16] 1.0060000000000000053 0.077265580758640734 0.00244335219932985360 0.00600000000000000533  165.832499
     y[179] 2.9940000000000002167 0.077265580758640748 0.00244335219932985404 0.00600000000000000446  165.832499
     y[161] 1.0700000000000000622 0.277807806184737327 0.00878505419318381664 0.02943920288775948163   89.050589
     y[113] 1.0329999999999999183 0.178725887724591026 0.00565180882045236178 0.02789065952767860040   41.063632
      y[99] 1.0120000000000000107 0.154531161517281468 0.00488670439865970720 0.01200000000000001066  165.832499
     y[163] 1.0540000000000000480 0.251290961133000812 0.00794651792593129014 0.02171532996653644312  133.912423
     y[123] 2.0059999999999997833 0.077265580758640748 0.00244335219932985404 0.00600000000000000446  165.832499
      y[76] 2.0000000000000000000 0.000000000000000000 0.00000000000000000000 0.00000000000000000000 1000.000000
      y[98] 2.0000000000000000000 0.000000000000000000 0.00000000000000000000 0.00000000000000000000 1000.000000
     y[138] 2.3519999999999998685 0.933256110061416400 0.02951214948062859389 0.23955885382186239974   15.176696
     y[124] 1.6759999999999999343 0.943352486567937909 0.02983142493938081147 0.25063120316512865760   14.166994
     y[183] 2.9940000000000002167 0.077265580758640748 0.00244335219932985404 0.00600000000000000446  165.832499
       y[9] 2.0000000000000000000 0.000000000000000000 0.00000000000000000000 0.00000000000000000000 1000.000000
      y[52] 2.9159999999999999254 0.393826229572254105 0.01245387887764682830 0.08400000000000001910   21.981165
       y[5] 3.0000000000000000000 0.000000000000000000 0.00000000000000000000 0.00000000000000000000 1000.000000
      y[40] 2.9940000000000002167 0.077265580758640748 0.00244335219932985404 0.00600000000000000446  165.832499
     y[104] 1.9939999999999999947 0.077265580758640734 0.00244335219932985360 0.00600000000000000446  165.832499
     y[150] 1.0120000000000000107 0.154531161517281468 0.00488670439865970720 0.01200000000000001066  165.832499
      y[57] 1.0120000000000000107 0.154531161517281468 0.00488670439865970720 0.01200000000000001066  165.832499
     y[158] 2.3420000000000000817 0.936970604615700586 0.02962961211210689283 0.14221892357285728647   43.404740
     y[100] 2.0000000000000000000 0.000000000000000000 0.00000000000000000000 0.00000000000000000000 1000.000000
     y[137] 1.0120000000000000107 0.154531161517281468 0.00488670439865970720 0.01200000000000001066  165.832499
