                   Mean               SD              Naive SE             MCSE             ESS    
  phi[2][1]  1.007198036×10⁻¹   2.195132475×10⁻¹    0.006941618386   5.50502627988×10⁻³ 1000.000000
  phi[2][2]  1.039314267×10⁻¹   2.116478283×10⁻¹    0.006692891992   5.85088430847×10⁻³ 1000.000000
  phi[2][3]  1.113811702×10⁻¹   2.228376366×10⁻¹    0.007046744800    6.8491892304×10⁻³ 1000.000000
  phi[2][4] 9.7196125607×10⁻²   2.126402062×10⁻¹    0.006724273736   8.03848658539×10⁻³  699.748839
  phi[2][5] 9.0702983376×10⁻²   1.965058418×10⁻¹    0.006214060337   5.02839306178×10⁻³ 1000.000000
  phi[2][6]  1.036869226×10⁻¹   2.236005627×10⁻¹    0.007070870644    6.3411359001×10⁻³ 1000.000000
  phi[2][7] 9.3164258521×10⁻²   2.038012839×10⁻¹    0.006444762470   3.42218147558×10⁻³ 1000.000000
  phi[2][8] 9.8555011416×10⁻²   2.132252365×10⁻¹    0.006742774020   5.09882917597×10⁻³ 1000.000000
  phi[2][9]  1.093809296×10⁻¹   2.245633433×10⁻¹    0.007101316438   3.15490241747×10⁻³ 1000.000000
 phi[2][10]  9.128136842×10⁻²   2.012083486×10⁻¹    0.006362766658    8.4250289467×10⁻³  570.360170
         lp   -4.36728701×10⁵     2.50681153×10⁵ 7927.234102655819       8.30990519×10⁴    9.100206
theta[2][1]  3.344181635×10⁻¹   2.342092631×10⁻¹    0.007406347206   6.20119002939×10⁻³ 1000.000000
theta[2][2]  3.230192519×10⁻¹   2.341139872×10⁻¹    0.007403334317   6.61912909515×10⁻³ 1000.000000
theta[2][3]  3.425625845×10⁻¹   2.382773515×10⁻¹    0.007534991457   7.47023814121×10⁻³ 1000.000000
theta[3][1]  3.245938016×10⁻¹   2.333946862×10⁻¹    0.007380588022   7.21251883118×10⁻³ 1000.000000
theta[3][2]  3.322242314×10⁻¹   2.422941471×10⁻¹    0.007662013687   9.58405003315×10⁻³  639.127791
theta[3][3]   3.43181967×10⁻¹   2.418441487×10⁻¹    0.007647783486   9.62538496121×10⁻³  631.298784
    elapsed  5.725531519×10⁻¹ 2.42628098104×10⁻³    0.000076725741 5.3350457280579×10⁻⁵ 1000.000000
theta[1][1]  3.454815473×10⁻¹   2.394569475×10⁻¹    0.007572293557   8.47047719169×10⁻³  799.169920
theta[1][2]  3.133514206×10⁻¹   2.265597086×10⁻¹    0.007164447051    9.2242663546×10⁻³  603.256048
theta[1][3]  3.411670321×10⁻¹   2.367153021×10⁻¹    0.007485595115    8.5783849624×10⁻³  761.450371
  phi[1][1]  1.001066476×10⁻¹   2.143843373×10⁻¹    0.006779428006   5.51703806161×10⁻³ 1000.000000
  phi[1][2] 9.8320279526×10⁻²   2.113666396×10⁻¹    0.006684000026   5.69454833337×10⁻³ 1000.000000
  phi[1][3] 9.6893316645×10⁻²   2.107027683×10⁻¹    0.006663006572   5.51087296053×10⁻³ 1000.000000
  phi[1][4]  1.108069654×10⁻¹     2.2585792×10⁻¹    0.007142254548   4.88047458171×10⁻³ 1000.000000
  phi[1][5] 9.1832533051×10⁻²   1.946271517×10⁻¹    0.006154650937    7.5038489041×10⁻³  672.726743
  phi[1][6] 8.5836298011×10⁻²   1.925591165×10⁻¹    0.006089253924   6.21867224503×10⁻³  958.810615
  phi[1][7]  1.071043895×10⁻¹   2.128784505×10⁻¹    0.006731807684   6.80593747981×10⁻³  978.334774
  phi[1][8] 9.7453062487×10⁻²   2.103557865×10⁻¹    0.006652034042   6.78513045935×10⁻³  961.152990
  phi[1][9]  1.169759496×10⁻¹   2.342051279×10⁻¹    0.007406216440   8.87995699727×10⁻³  695.618421
 phi[1][10] 9.4670558229×10⁻²   2.007732368×10⁻¹    0.006349007216   5.24309304037×10⁻³ 1000.000000
  phi[3][1] 9.7258872865×10⁻²   2.043378932×10⁻¹    0.006461731546   3.74290752129×10⁻³ 1000.000000
  phi[3][2]  1.040450692×10⁻¹   2.141583066×10⁻¹    0.006772280286   7.68056559126×10⁻³  777.469648
  phi[3][3] 9.4363577958×10⁻²   2.033553835×10⁻¹    0.006430661863   4.74183298273×10⁻³ 1000.000000
  phi[3][4]  1.035319319×10⁻¹   2.228186646×10⁻¹    0.007046144852   7.72948836877×10⁻³  831.001175
  phi[3][5]  1.018708762×10⁻¹   2.139893263×10⁻¹    0.006766936659   6.84311484633×10⁻³  977.859739
  phi[3][6]  1.103923819×10⁻¹   2.281247607×10⁻¹    0.007213938344   6.23559726881×10⁻³ 1000.000000
  phi[3][7]  9.738888285×10⁻²   2.111216835×10⁻¹    0.006676253834   7.57822747354×10⁻³  776.122737
  phi[3][8] 9.4668179703×10⁻²   2.062131942×10⁻¹    0.006521033772   5.73829272271×10⁻³ 1000.000000
  phi[3][9] 9.6986036167×10⁻²   2.109130938×10⁻¹    0.006669657647   7.04616259686×10⁻³  895.987112
 phi[3][10] 9.9494191275×10⁻²    2.16378757×10⁻¹    0.006842497095    4.9765449153×10⁻³ 1000.000000

