                  Mean           SD         Naive SE       MCSE         ESS    
 theta[9][1]    0.123750411  0.192274681 0.00608025929 0.0412421701   21.735077
 theta[9][2]    0.876249589  0.192274681 0.00608025929 0.0412421701   21.735077
      z[100]    1.028000000  0.165055273 0.00521950603 0.0280000000   34.749035
      z[245]    1.471000000  0.499408058 0.01579266945 0.0476899710  109.662205
        z[9]    1.000000000  0.000000000 0.00000000000 0.0000000000 1000.000000
      z[160]    1.787000000  0.409632517 0.01295371757 0.0897657445   20.824164
      z[203]    1.022000000  0.146756729 0.00464085526 0.0220000000   44.499044
      z[230]    1.496000000  0.500234179 0.01581879370 0.0500266596   99.987041
       z[98]    1.925000000  0.263523138 0.00833333333 0.0578359750   20.760671
      z[208]    1.014000000  0.117549214 0.00371723255 0.0140000000   70.499070
       z[37]    1.812000000  0.390907673 0.01236158602 0.1054598396   13.739603
      z[109]    1.009000000  0.094487713 0.00298796384 0.0090000000  110.221332
 theta[7][1]    0.154463354  0.226069732 0.00714895265 0.0500009576   20.442227
 theta[7][2]    0.845536646  0.226069732 0.00714895265 0.0500009576   20.442227
      z[154]    1.109000000  0.311795151 0.00985982841 0.0667074875   21.846886
       z[42]    1.955000000  0.207407854 0.00655881224 0.0241867732   73.535074
      z[149]    1.046000000  0.209589904 0.00662781472 0.0460000000   20.759890
       z[88]    1.011000000  0.104354635 0.00329998332 0.0110000000   89.999090
      z[189]    1.799000000  0.400948575 0.01267910721 0.0556467030   51.915671
      z[237]    1.463000000  0.498878622 0.01577592723 0.0568633840   76.970514
      z[131]    1.035000000  0.183871718 0.00581453427 0.0242784770   57.357074
      z[165]    1.941000000  0.235742602 0.00745483565 0.0379897647   38.507289
       z[76]    1.004000000  0.063150519 0.00199699474 0.0040000000  249.249249
      z[181]    1.005000000  0.070568973 0.00223158687 0.0034156503  426.855427
theta[13][1]    0.785623398  0.194708657 0.00615722836 0.0399339577   23.773100
theta[13][2]    0.214376602  0.194708657 0.00615722836 0.0399339577   23.773100
      z[220]    1.045000000  0.207407854 0.00655881224 0.0450000000   21.243466
      z[134]    1.953000000  0.211744742 0.00669595668 0.0327973576   41.681905
       z[66]    1.948000000  0.222138122 0.00702462421 0.0438380859   25.676926
 theta[2][1]    0.716099127  0.205495011 0.00649832282 0.0552181292   13.849662
 theta[2][2]    0.283900873  0.205495011 0.00649832282 0.0552181292   13.849662
      z[111]    1.007000000  0.083414375 0.00263779415 0.0070000000  141.999142
      z[168]    1.031000000  0.173404351 0.00548352706 0.0310000000   31.289354
      z[178]    1.020000000  0.140070053 0.00442940398 0.0125609625  124.349702
