                  Mean           SD         Naive SE        MCSE          ESS    
 theta[9][1]    0.157798742  0.137707464 0.00435469236  0.0158177624   75.7922610
 theta[9][2]    0.842201258  0.137707464 0.00435469236  0.0158177624   75.7922610
      z[100]    1.000000000  0.000000000 0.00000000000  0.0000000000 1000.0000000
      z[245]    1.565000000  0.496005061 0.01568505725  0.0476153570  108.5120896
        z[9]    1.253000000  0.434948480 0.01375427861  0.1324306947   10.7869414
      z[160]    1.765000000  0.424210979 0.01341472903  0.1263175012   11.2781212
      z[203]    1.062000000  0.241276220 0.00762982400  0.0620000000   15.1441764
      z[230]    1.650000000  0.477208265 0.01509065034  0.0382390144  155.7408472
       z[98]    1.984000000  0.125537882 0.00396985639  0.0107703296  135.8599979
      z[208]    1.131000000  0.337569182 0.01067487484  0.0904488806   13.9289760
       z[37]    1.720000000  0.449223554 0.01420569610  0.1436043949    9.7856477
      z[109]    1.000000000  0.000000000 0.00000000000  0.0000000000 1000.0000000
 theta[7][1]    0.108908051  0.134450340 0.00425169306  0.0090875369  218.8927788
 theta[7][2]    0.891091949  0.134450340 0.00425169306  0.0090875369  218.8927788
      z[154]    1.133000000  0.339744649 0.01074366913  0.0912633552   13.8583775
       z[42]    1.821000000  0.383544138 0.01212873061  0.1194473385   10.3104530
      z[149]    1.004000000  0.063150519 0.00199699474  0.0040000000  249.2492492
       z[88]    1.052000000  0.222138122 0.00702462421  0.0404639757   30.1376295
      z[189]    1.721000000  0.448731947 0.01419015012  0.1211284901   13.7240210
      z[237]    1.515000000  0.500025024 0.01581217964  0.0546554867   83.6981672
      z[131]    1.001000000  0.031622777 0.00100000000  0.0010000000 1000.0000000
      z[165]    1.810000000  0.392497203 0.01241185135  0.1210050504   10.5212209
       z[76]    1.041000000  0.198389411 0.00627362402  0.0410000000   23.4136576
      z[181]    1.096000000  0.294738648 0.00932045443  0.0499599840   34.8040348
theta[13][1]    0.847853000  0.124063825 0.00392324262  0.0110061990  127.0619782
theta[13][2]    0.152147000  0.124063825 0.00392324262  0.0110061990  127.0619782
      z[220]    1.027000000  0.162164414 0.00512808905  0.0180154255   81.0255651
      z[134]    1.821000000  0.383544138 0.01212873061  0.1194473385   10.3104530
       z[66]    1.985000000  0.121613280 0.00384574957  0.0100277393  147.0807824
 theta[2][1]    0.264650515  0.248350495 0.00785353222  0.0718290489   11.9544563
 theta[2][2]    0.735349485  0.248350495 0.00785353222  0.0718290489   11.9544563
      z[111]    1.000000000  0.000000000 0.00000000000  0.0000000000 1000.0000000
      z[168]    1.023000000  0.149978310 0.00474273059  0.0230000000   42.5207817
      z[178]    1.088000000  0.283436653 0.00896305396  0.0440656077   41.3725696
      z[129]    1.036000000  0.186383311 0.00589395782  0.0261703819   50.7217146
       z[19]    1.733000000  0.442613722 0.01399667485  0.1367889697   10.4700219
        z[2]    1.261000000  0.439399672 0.01389503768  0.1350427916   10.5870909
       z[60]    1.018000000  0.133017644 0.00420638725  0.0180000000   54.6101657
       z[22]    1.733000000  0.442613722 0.01399667485  0.1367889697   10.4700219
       z[45]    1.866000000  0.340822769 0.01077776230  0.0797802538   18.2501474
      z[182]    1.037000000  0.188856206 0.00597215762  0.0370000000   26.0530801
      z[228]    1.218000000  0.413093993 0.01306317904  0.0741889480   31.0041146
      z[184]    1.168000000  0.374053360 0.01182860583  0.0621789532   36.1893104
      z[250]    1.554000000  0.497324171 0.01572677117  0.0398385631  155.8374392
      z[108]    1.036000000  0.186383311 0.00589395782  0.0360000000   26.8045824
      z[191]    1.526000000  0.499573392 0.01579789776  0.1207863127   17.1065783
      z[252]    1.037000000  0.188856206 0.00597215762  0.0348026180   29.4468397
theta[14][1]    0.192397288  0.236951588 0.00749306712  0.0718579579   10.8735036
theta[14][2]    0.807602712  0.236951588 0.00749306712  0.0718579579   10.8735036
       z[54]    1.028000000  0.165055273 0.00521950603  0.0280000000   34.7490347
      z[153]    1.084000000  0.277526613 0.00877616209  0.0563165656   24.2849352
       z[96]    1.340000000  0.473945803 0.01498748226  0.1451512621   10.6614367
theta[15][1]    0.906564603  0.121987121 0.00385757147  0.0263169605   21.4860463
theta[15][2]    0.093435397  0.121987121 0.00385757147  0.0263169605   21.4860463
theta[24][1]    0.416725394  0.169789767 0.00536922386  0.0253055840   45.0184246
theta[24][2]    0.583274606  0.169789767 0.00536922386  0.0253055840   45.0184246
       z[71]    1.997000000  0.054717401 0.00173031615  0.0030000000  332.6659993
      z[166]    1.037000000  0.188856206 0.00597215762  0.0370000000   26.0530801
      z[162]    1.809000000  0.393285740 0.01243678711  0.1130629127   12.0997407
       z[84]    1.046000000  0.209589904 0.00662781472  0.0460000000   20.7598903
       z[65]    1.959000000  0.198389411 0.00627362402  0.0260959767   57.7949462
      z[173]    1.578000000  0.494125652 0.01562562511  0.1480675522   11.1366612
       z[41]    1.000000000  0.000000000 0.00000000000  0.0000000000 1000.0000000
      z[146]    1.023000000  0.149978310 0.00474273059  0.0230000000   42.5207817
       z[86]    1.047000000  0.211744742 0.00669595668  0.0470000000   20.2968926
theta[10][1]    0.949185608  0.084077892 0.00265877640  0.0158289189   28.2137701
