                   Mean           SD        Naive SE       MCSE          ESS    
 theta[9][1]    0.0676550062  0.090033238 0.0028471010 0.0050226209  321.3253201
 theta[9][2]    0.9323449938  0.090033238 0.0028471010 0.0050226209  321.3253201
      z[100]    1.0080000000  0.089128805 0.0028185003 0.0080000000  124.1241241
      z[245]    1.6540000000  0.475931204 0.0150502661 0.0274550137  300.5003825
        z[9]    1.5380000000  0.498803373 0.0157735476 0.1507227034   10.9522012
      z[160]    1.9920000000  0.089128805 0.0028185003 0.0080000000  124.1241241
      z[203]    1.0480000000  0.213873191 0.0067632641 0.0280000000   58.3440583
      z[230]    1.7130000000  0.452587932 0.0143120871 0.0598154569   57.2504743
       z[98]    1.9980000000  0.044698971 0.0014135056 0.0020000000  499.4994995
      z[208]    1.0780000000  0.268305773 0.0084845735 0.0418675159   41.0681980
       z[37]    1.9940000000  0.077265581 0.0024433522 0.0060000000  165.8324992
      z[109]    1.0030000000  0.054717401 0.0017303162 0.0030000000  332.6659993
 theta[7][1]    0.0886510068  0.115329820 0.0036470491 0.0083062878  192.7832428
 theta[7][2]    0.9113489932  0.115329820 0.0036470491 0.0083062878  192.7832428
      z[154]    1.1770000000  0.381859682 0.0120754634 0.1007312155   14.3707510
       z[42]    1.9870000000  0.113330684 0.0035838309 0.0130000000   75.9990760
      z[149]    1.0050000000  0.070568973 0.0022315869 0.0050000000  199.1991992
       z[88]    1.0150000000  0.121613280 0.0038457496 0.0150000000   65.7323991
      z[189]    1.8230000000  0.381859682 0.0120754634 0.0442229202   74.5611813
      z[237]    1.6310000000  0.482775385 0.0152666981 0.0288077922  280.8473221
      z[131]    1.0260000000  0.159214790 0.0050348137 0.0260000000   37.4990375
      z[165]    1.9940000000  0.077265581 0.0024433522 0.0060000000  165.8324992
       z[76]    1.0090000000  0.094487713 0.0029879638 0.0090000000  110.2213324
      z[181]    1.0320000000  0.176088066 0.0055683936 0.0320000000   30.2802803
theta[13][1]    0.6613733199  0.172315041 0.0054490801 0.0244688868   49.5927228
theta[13][2]    0.3386266801  0.172315041 0.0054490801 0.0244688868   49.5927228
      z[220]    1.0310000000  0.173404351 0.0054835271 0.0153079500  128.3175067
      z[134]    2.0000000000  0.000000000 0.0000000000 0.0000000000 1000.0000000
       z[66]    1.9820000000  0.133017644 0.0042063872 0.0180000000   54.6101657
 theta[2][1]    0.0934605842  0.157042093 0.0049661070 0.0279167235   31.6448659
 theta[2][2]    0.9065394158  0.157042093 0.0049661070 0.0279167235   31.6448659
      z[111]    1.0010000000  0.031622777 0.0010000000 0.0010000000 1000.0000000
      z[168]    1.0140000000  0.117549214 0.0037172325 0.0140000000   70.4990705
      z[178]    1.1150000000  0.319181574 0.0100934076 0.0589397055   29.3264638
      z[129]    1.6870000000  0.463946383 0.0146712728 0.1156916400   16.0816880
       z[19]    1.9750000000  0.156203071 0.0049395748 0.0250000000   39.0390390
        z[2]    1.5330000000  0.499159454 0.0157848079 0.1492056746   11.1920056
       z[60]    1.2240000000  0.417130673 0.0131908301 0.1177492628   12.5495415
       z[22]    1.9960000000  0.063150519 0.0019969947 0.0040000000  249.2492492
       z[45]    1.9950000000  0.070568973 0.0022315869 0.0050000000  199.1991992
      z[182]    1.0320000000  0.176088066 0.0055683936 0.0269072481   42.8273577
      z[228]    1.1910000000  0.393285740 0.0124367871 0.0481306093   66.7688169
      z[184]    1.1900000000  0.392497203 0.0124118514 0.0938556812   17.4884774
      z[250]    1.6570000000  0.474949025 0.0150192069 0.0156382721  922.3939978
      z[108]    1.0030000000  0.054717401 0.0017303162 0.0030000000  332.6659993
      z[191]    1.9070000000  0.290577761 0.0091888756 0.0364249609   63.6394706
      z[252]    1.0200000000  0.140070053 0.0044294040 0.0147572957   90.0900901
theta[14][1]    0.0448913722  0.062164815 0.0019658240 0.0022938311  734.4570645
theta[14][2]    0.9551086278  0.062164815 0.0019658240 0.0022938311  734.4570645
       z[54]    1.0300000000  0.170672579 0.0053971408 0.0300000000   32.3656990
      z[153]    1.2810000000  0.449712398 0.0142211547 0.1203924139   13.9531248
       z[96]    1.9860000000  0.117549214 0.0037172325 0.0140000000   70.4990705
theta[15][1]    0.8982183015  0.124546474 0.0039385053 0.0267580323   21.6647921
theta[15][2]    0.1017816985  0.124546474 0.0039385053 0.0267580323   21.6647921
theta[24][1]    0.3746793767  0.175445703 0.0055480803 0.0170198482  106.2610503
theta[24][2]    0.6253206233  0.175445703 0.0055480803 0.0170198482  106.2610503
       z[71]    1.9910000000  0.094487713 0.0029879638 0.0090000000  110.2213324
      z[166]    1.0050000000  0.070568973 0.0022315869 0.0050000000  199.1991992
      z[162]    2.0000000000  0.000000000 0.0000000000 0.0000000000 1000.0000000
       z[84]    1.0090000000  0.094487713 0.0029879638 0.0060461190  244.2290315
       z[65]    1.9940000000  0.077265581 0.0024433522 0.0060000000  165.8324992
      z[173]    1.9890000000  0.104354635 0.0032999833 0.0110000000   89.9990900
       z[41]    1.0640000000  0.244875405 0.0077436402 0.0640000000   14.6396396
      z[146]    1.0100000000  0.099548530 0.0031480009 0.0100000000   99.0990991
       z[86]    1.0200000000  0.140070053 0.0044294040 0.0140633487   99.2003239
theta[10][1]    0.9652799029  0.047253247 0.0014942789 0.0041432693  130.0699566
theta[10][2]    0.0347200971  0.047253247 0.0014942789 0.0041432693  130.0699566
        z[3]    1.9910000000  0.094487713 0.0029879638 0.0090000000  110.2213324
       z[28]    1.9900000000  0.099548530 0.0031480009 0.0100000000   99.0990991
      z[132]    1.0270000000  0.162164414 0.0051280890 0.0270000000   36.0731101
theta[25][1]    0.9368905906  0.122296072 0.0038673414 0.0151168810   65.4486405
theta[25][2]    0.0631094094  0.122296072 0.0038673414 0.0151168810   65.4486405
      z[224]    1.6670000000  0.471522357 0.0149108462 0.0636492123   54.8805573
      z[212]    1.8490000000  0.358228038 0.0113281652 0.0840694158   18.1569581
        z[5]    1.9970000000  0.054717401 0.0017303162 0.0030000000  332.6659993
       z[77]    1.0010000000  0.031622777 0.0010000000 0.0010000000 1000.0000000
      z[126]    1.5130000000  0.500081075 0.0158139521 0.1391805382   12.9099278
      z[128]    1.2850000000  0.451640320 0.0142821210 0.1338676793   11.3824026
       z[91]    1.1880000000  0.390907673 0.0123615860 0.1057229083   13.6713118
      z[243]    1.1080000000  0.310535718 0.0098200017 0.0130639453  565.0337838
        z[4]    1.9920000000  0.089128805 0.0028185003 0.0080000000  124.1241241
       z[11]    1.9670000000  0.178725888 0.0056518088 0.0330000000   29.3323627
       z[83]    1.0060000000  0.077265581 0.0024433522 0.0060000000  165.8324992
       z[14]    1.9720000000  0.165055273 0.0052195060 0.0280000000   34.7490347
      z[241]    1.9420000000  0.233860409 0.0073953155 0.0355840164   43.1920162
      z[112]    1.0080000000  0.089128805 0.0028185003 0.0080000000  124.1241241
       z[39]    1.9820000000  0.133017644 0.0042063872 0.0180000000   54.6101657
       z[58]    1.0280000000  0.165055273 0.0052195060 0.0280000000   34.7490347
        z[1]    1.9970000000  0.054717401 0.0017303162 0.0030000000  332.6659993
      z[253]    1.0220000000  0.146756729 0.0046408553 0.0176886655   68.8344595
      z[223]    1.9010000000  0.298811459 0.0094492480 0.0544966870   30.0645215
      z[249]    1.6390000000  0.480530863 0.0151957201 0.0215741615  496.1062758
       z[55]    1.0220000000  0.146756729 0.0046408553 0.0220000000   44.4990445
      z[205]    1.0250000000  0.156203071 0.0049395748 0.0217689892   51.4875955
theta[22][1]    0.7591801734  0.180771831 0.0057165072 0.0163156980  122.7581110
theta[22][2]    0.2408198266  0.180771831 0.0057165072 0.0163156980  122.7581110
       z[43]    1.9920000000  0.089128805 0.0028185003 0.0080000000  124.1241241
       z[57]    1.0320000000  0.176088066 0.0055683936 0.0320000000   30.2802803
      z[234]    1.1070000000  0.309267920 0.0097799104 0.0338312807   83.5666265
      z[211]    1.8160000000  0.387678081 0.0122594573 0.0702882952   30.4212093
      z[172]    1.0280000000  0.165055273 0.0052195060 0.0187260959   77.6898572
      z[151]    1.0140000000  0.117549214 0.0037172325 0.0140000000   70.4990705
       z[46]    1.0550000000  0.228094338 0.0072129763 0.0550000000   17.1990172
      z[233]    1.9750000000  0.156203071 0.0049395748 0.0250000000   39.0390390
       z[78]    1.0050000000  0.070568973 0.0022315869 0.0050000000  199.1991992
      z[214]    1.0200000000  0.140070053 0.0044294040 0.0106458129  173.1142908
        z[7]    1.8700000000  0.336471712 0.0106401698 0.0820975030   16.7972126
      z[259]    1.0180000000  0.133017644 0.0042063872 0.0147422296   81.4127010
      z[186]    1.9870000000  0.113330684 0.0035838309 0.0089504811  160.3253739
      z[199]    1.9620000000  0.191291904 0.0060491812 0.0380000000   25.3411306
       z[17]    1.9740000000  0.159214790 0.0050348137 0.0260000000   37.4990375
       z[52]    1.0550000000  0.228094338 0.0072129763 0.0550000000   17.1990172
      z[247]    1.6280000000  0.483580241 0.0152921499 0.0215406592  503.9867454
      z[242]    1.1390000000  0.346119631 0.0109452638 0.0343979974  101.2479284
      z[159]    1.9930000000  0.083414375 0.0026377941 0.0070000000  141.9991420
      z[174]    1.0080000000  0.089128805 0.0028185003 0.0080000000  124.1241241
      z[235]    1.9550000000  0.207407854 0.0065588122 0.0315964133   43.0898344
      z[239]    1.1400000000  0.347160655 0.0109781838 0.0315171911  121.3293831
      z[152]    1.0060000000  0.077265581 0.0024433522 0.0060000000  165.8324992
       z[34]    1.9170000000  0.276020266 0.0087285272 0.0662998240   17.3323395
