                       Mean                           SD                                 Naive SE                                MCSE                     ESS    
 theta[9][1]     0.94189626989222441      2.77694638204587951335611×10⁻¹⁵     8.7814755074290911096568379×10⁻¹⁷     3.7007434154171887641382455×10⁻¹⁷ 1000.000000
 theta[9][2]     0.05810373010777819     1.735591488778674973403326×10⁻¹⁶    5.48842219214318127740170894×10⁻¹⁸                                     0 1000.000000
theta[14][1]     0.00242213299851790   1.73559148877867475135872155×10⁻¹⁸  5.4884221921431821655801286397×10⁻²⁰   1.445602896647339541402743635×10⁻¹⁹  144.144144
theta[14][2]     0.99757786700148876      6.66467131691011083205467×10⁻¹⁵      2.107554121782981848554073×10⁻¹⁶     3.7007434154171887641382455×10⁻¹⁷ 1000.000000
theta[13][1]     0.00712598373157846    2.1694893609733432171537970×10⁻¹⁷   6.860527740178977929019765725×10⁻¹⁹   2.891205793294679082805487269×10⁻¹⁹ 1000.000000
theta[13][2]     0.99287401626841776      3.77664707958239587171079×10⁻¹⁵      1.194280669010356454862176×10⁻¹⁶     3.7007434154171887641382455×10⁻¹⁷ 1000.000000
 theta[3][1]     0.08825607808662664     2.638099062943585870755214×10⁻¹⁶    8.34240173205763468899931468×10⁻¹⁸    4.62592926927148617721741175×10⁻¹⁸ 1000.000000
 theta[3][2]     0.91174392191337073      2.33263496091853905767266×10⁻¹⁵     7.3764394262404362478946496×10⁻¹⁷     7.4014868308343775282764909×10⁻¹⁷  993.243243
theta[25][1]     0.90489263378378193      3.33233565845505541602734×10⁻¹⁵      1.053777060891490924277036×10⁻¹⁶     3.7007434154171887641382455×10⁻¹⁷ 1000.000000
theta[25][2]     0.09510736621622201     6.109282040500935373472657×10⁻¹⁶     1.9319246116343999908337992×10⁻¹⁷                                     0 1000.000000
 theta[1][1]     0.89809120723209301      5.33173705352808902091510×10⁻¹⁵      1.686043297426385478843258×10⁻¹⁶     3.7007434154171887641382455×10⁻¹⁷ 1000.000000
 theta[1][2]     0.10190879276790125     4.026572253966525849477875×10⁻¹⁶     1.2733139485772180243827734×10⁻¹⁷                                     0 1000.000000
   phi[1][1]     0.01385018259224245    3.4711829775573495027174431×10⁻¹⁷    1.09768443842863638870710474×10⁻¹⁸   5.782411586589358165610974538×10⁻¹⁹ 1000.000000
   phi[1][2]     0.02521935108791683   6.94236595511469900543488620×10⁻¹⁸   2.195368876857272777414209486×10⁻¹⁹    1.15648231731787154430435294×10⁻¹⁸   36.036036
   phi[1][3]     0.00006212409522972  1.762710105790841863537821155×10⁻¹⁹ 5.57417878889541995590661827009×10⁻²¹                                     0 1000.000000
   phi[1][4]     0.00001887454425736 6.1016888277375294080684398068×10⁻²⁰ 1.92952342692533762580353595695×10⁻²¹ 1.12937726300573393345416661759×10⁻²¹ 1000.000000
   phi[1][5]     0.96084946768035584      2.22155710563670361068489×10⁻¹⁵     7.0251804059432725324541025×10⁻¹⁷     7.4014868308343775282764909×10⁻¹⁷  900.900901
theta[15][1]     0.08675218590619367     3.332335658455055860116545×10⁻¹⁶     1.0537770608914909242770364×10⁻¹⁷    4.62592926927148617721741175×10⁻¹⁸ 1000.000000
theta[15][2]     0.91324781409380740      1.44401211866385748017194×10⁻¹⁵     4.5663672638631274125486925×10⁻¹⁷                                     0 1000.000000
theta[21][1]     0.05069206055596663     1.666167829227527930058272×10⁻¹⁶    5.26888530445745395525136701×10⁻¹⁸    2.31296463463574308860870588×10⁻¹⁸ 1000.000000
theta[21][2]     0.94930793944403147      2.11047925035486860778633×10⁻¹⁵     6.6739213856461079288351357×10⁻¹⁷     7.4014868308343775282764909×10⁻¹⁷  813.063063
theta[23][1]     0.70119267747853131      1.99940139507303316079856×10⁻¹⁵     6.3226623653489459897514280×10⁻¹⁷     3.7007434154171887641382455×10⁻¹⁷ 1000.000000
theta[23][2]     0.29880732252146780      1.11077855281835180534245×10⁻¹⁵     3.5125902029716362662270512×10⁻¹⁷                                     0 1000.000000
 theta[2][1]     0.87513359176727257      3.77664707958239587171079×10⁻¹⁵      1.194280669010356454862176×10⁻¹⁶     3.7007434154171887641382455×10⁻¹⁷ 1000.000000
 theta[2][2]     0.12486640823273089     3.193488339352761773426437×10⁻¹⁶     1.0098696833543454598469680×10⁻¹⁷    9.25185853854297235443482350×10⁻¹⁸ 1000.000000
theta[19][1]     0.99407383261390714     4.443114211273408109548200×10⁻¹⁶     1.4050360811886544176729785×10⁻¹⁷     3.7007434154171887641382455×10⁻¹⁷  144.144144
theta[19][2]     0.00592616738609242                                    0                                     0                                     0 1000.000000
theta[12][1]     0.40335827889083448      1.11077855281835180534245×10⁻¹⁵     3.5125902029716362662270512×10⁻¹⁷     3.7007434154171887641382455×10⁻¹⁷  900.900901
theta[12][2]     0.59664172110916558     9.997006975365167136260425×10⁻¹⁶     3.1613311826744729948757140×10⁻¹⁷     3.7007434154171887641382455×10⁻¹⁷  729.729730
theta[22][1]     0.70923138374001571      3.33233565845505541602734×10⁻¹⁵      1.053777060891490924277036×10⁻¹⁶     3.7007434154171887641382455×10⁻¹⁷ 1000.000000
theta[22][2]     0.29076861625998762                                    0                                     0                                     0 1000.000000
theta[17][1]     0.09885961963024642     5.276198125887171741510429×10⁻¹⁶     1.6684803464115269822087839×10⁻¹⁷    4.62592926927148617721741175×10⁻¹⁸ 1000.000000
theta[17][2]     0.90114038036975330     7.775449869728462637397115×10⁻¹⁶     2.4588131420801451199054100×10⁻¹⁷     3.7007434154171887641382455×10⁻¹⁷  441.441441
theta[24][1]     0.50234117441257886      1.66616782922752770801367×10⁻¹⁵     5.2688853044574548434297867×10⁻¹⁷     3.7007434154171887641382455×10⁻¹⁷ 1000.000000
theta[24][2]     0.49765882558742114      1.66616782922752770801367×10⁻¹⁵     5.2688853044574548434297867×10⁻¹⁷     1.8503717077085943820691227×10⁻¹⁷ 1000.000000
 theta[7][1]     0.28433245552348818     1.666167829227527930058272×10⁻¹⁶    5.26888530445745395525136701×10⁻¹⁸     1.8503717077085943820691227×10⁻¹⁷   81.081081
 theta[7][2]     0.71566754447651104     8.886228422546816219096399×10⁻¹⁶     2.8100721623773088353459570×10⁻¹⁷     3.7007434154171887641382455×10⁻¹⁷  576.576577
theta[16][1]     0.13155257192261524    2.7769463820458795133561125×10⁻¹⁷   8.781475507429091109656837943×10⁻¹⁹                                     0 1000.000000
theta[16][2]     0.86844742807738684      2.11047925035486860778633×10⁻¹⁵     6.6739213856461079288351357×10⁻¹⁷     3.7007434154171887641382455×10⁻¹⁷ 1000.000000
 theta[5][1]     0.97921137977804329      5.22065919824625357392733×10⁻¹⁵      1.650917395396669151708124×10⁻¹⁶                                     0 1000.000000
 theta[5][2]     0.02078862022195158    8.6779574438933728686151881×10⁻¹⁷    2.74421109607159063870085447×10⁻¹⁸                                     0 1000.000000
     elapsed     0.02846486899999981     1.909150637656542359721357×10⁻¹⁶    6.03726441135749958277756377×10⁻¹⁸    1.15648231731787154430435294×10⁻¹⁸ 1000.000000
 theta[8][1]     0.91340384317233880      4.88742563240074812114244×10⁻¹⁵      1.545539689307520170302723×10⁻¹⁶                                     0 1000.000000
 theta[8][2]     0.08659615682766619     1.110778552818352027387050×10⁻¹⁶    3.51259020297163626622705124×10⁻¹⁸                                     0 1000.000000
 theta[6][1]     0.33553700850154122      1.22185640810018703028561×10⁻¹⁵     3.8638492232687999816675983×10⁻¹⁷     1.8503717077085943820691227×10⁻¹⁷ 1000.000000
 theta[6][2]     0.66446299149845622      3.77664707958239587171079×10⁻¹⁵      1.194280669010356454862176×10⁻¹⁶     3.7007434154171887641382455×10⁻¹⁷ 1000.000000
theta[11][1]     0.90732953896258595      1.55508997394569248307050×10⁻¹⁵     4.9176262841602902398108199×10⁻¹⁷     7.4014868308343775282764909×10⁻¹⁷  441.441441
theta[11][2]     0.09267046103741217     3.332335658455055860116545×10⁻¹⁶     1.0537770608914909242770364×10⁻¹⁷                                     0 1000.000000
   phi[2][1]     0.07454209972824807     2.360404424738997697374998×10⁻¹⁶    7.46425418131472717675478634×10⁻¹⁸    4.62592926927148617721741175×10⁻¹⁸ 1000.000000
   phi[2][2]     0.91605666540351838      3.99880279014606632159712×10⁻¹⁵      1.264532473069789331177049×10⁻¹⁶                                     0 1000.000000
   phi[2][3]     0.00086787937210503   4.23050425389801887376961531×10⁻¹⁸   1.337802909334900647309041233×10⁻¹⁹  7.2280144832366977070137181727×10⁻²⁰ 1000.000000
   phi[2][4]     0.00562965782100273  8.677957443893374644972027454×10⁻¹⁹  2.7442110960715910827900643199×10⁻²⁰   2.891205793294679082805487269×10⁻¹⁹    9.009009
   phi[2][5]     0.00290369767512144                                    0                                     0                                     0 1000.000000
          lp -1333.51123456208870266         5.45969874281276368322×10⁻¹²         1.726508336564618550923×10⁻¹³                                     0 1000.000000
theta[10][1]     0.99999999955897334      6.10928204050093537347266×10⁻¹⁵      1.931924611634400212878404×10⁻¹⁶     7.4014868308343775282764909×10⁻¹⁷ 1000.000000
theta[10][2]     0.00000000044103277                                    0                                     0                                     0 1000.000000
theta[20][1]     0.86505429024093983      5.66497061937359447370000×10⁻¹⁵      1.791421003515534460248659×10⁻¹⁶                                     0 1000.000000
theta[20][2]     0.13494570975906583                                    0                                     0                                     0 1000.000000
 theta[4][1]     0.97550135190986109      2.11047925035486860778633×10⁻¹⁵     6.6739213856461079288351357×10⁻¹⁷     7.4014868308343775282764909×10⁻¹⁷  813.063063
 theta[4][2]     0.02449864809013666     1.423185020798513500395188×10⁻¹⁶    4.50050619755740921590358994×10⁻¹⁸                                     0 1000.000000
theta[18][1]     0.03728514448082549                                    0                                     0    2.31296463463574308860870588×10⁻¹⁸    0.000000
theta[18][2]     0.96271485551917890      4.44311421127340722136978×10⁻¹⁵      1.405036081188654639717583×10⁻¹⁶     7.4014868308343775282764909×10⁻¹⁷ 1000.000000

