                   Mean           SD         Naive SE        MCSE         ESS   
 theta[9][1]    0.0830651492  0.116187209 0.00367416215 0.00964459969 145.127002
 theta[9][2]    0.9169348508  0.116187209 0.00367416215 0.00964459969 145.127002
theta[14][1]    0.0697999341  0.082477625 0.00260817152 0.00683434523 145.639262
theta[14][2]    0.9302000659  0.082477625 0.00260817152 0.00683434523 145.639262
theta[13][1]    0.6776152232  0.195842937 0.00619309745 0.01189774862 270.948188
theta[13][2]    0.3223847768  0.195842937 0.00619309745 0.01189774862 270.948188
 theta[3][1]    0.3974776921  0.142269557 0.00449895843 0.00899438946 250.196127
 theta[3][2]    0.6025223079  0.142269557 0.00449895843 0.00899438946 250.196127
theta[25][1]    0.9476929813  0.072515023 0.00229312638 0.00483378702 225.051007
theta[25][2]    0.0523070187  0.072515023 0.00229312638 0.00483378702 225.051007
 theta[1][1]    0.1275712786  0.160727732 0.00508265715 0.01729664397  86.349124
 theta[1][2]    0.8724287214  0.160727732 0.00508265715 0.01729664397  86.349124
   phi[1][1]    0.3905562853  0.052606795 0.00166357294 0.00362592631 210.496921
   phi[1][2]    0.3227945678  0.050222335 0.00158816969 0.00347143918 209.302628
   phi[1][3]    0.2675370197  0.058167112 0.00183940557 0.00409877985 201.393667
   phi[1][4]    0.0035467359  0.020012336 0.00063284563 0.00142672485 196.750168
   phi[1][5]    0.0155653912  0.030141966 0.00095317266 0.00324485473  86.288445
theta[15][1]    0.9383121759  0.081434700 0.00257519133 0.00503547559 261.539935
theta[15][2]    0.0616878241  0.081434700 0.00257519133 0.00503547559 261.539935
theta[21][1]    0.6618497917  0.188297984 0.00595450508 0.00901067605 436.693359
theta[21][2]    0.3381502083  0.188297984 0.00595450508 0.00901067605 436.693359
theta[23][1]    0.3180514754  0.173339020 0.00548146110 0.01355572013 163.511192
theta[23][2]    0.6819485246  0.173339020 0.00548146110 0.01355572013 163.511192
 theta[2][1]    0.0651479294  0.102063857 0.00322754256 0.01244793366  67.227881
 theta[2][2]    0.9348520706  0.102063857 0.00322754256 0.01244793366  67.227881
theta[19][1]    0.2050935118  0.156017181 0.00493369645 0.01463745502 113.609253
theta[19][2]    0.7949064882  0.156017181 0.00493369645 0.01463745502 113.609253
theta[12][1]    0.1352537657  0.165884497 0.00524572839 0.01205953790 189.212693
theta[12][2]    0.8647462343  0.165884497 0.00524572839 0.01205953790 189.212693
theta[22][1]    0.7654129568  0.183809408 0.00581256383 0.01325676585 192.247322
theta[22][2]    0.2345870432  0.183809408 0.00581256383 0.01325676585 192.247322
theta[17][1]    0.8188712637  0.130372889 0.00412275274 0.00566884480 528.914465
theta[17][2]    0.1811287363  0.130372889 0.00412275274 0.00566884480 528.914465
theta[24][1]    0.4015657898  0.155704511 0.00492380897 0.01212458364 164.918252
theta[24][2]    0.5984342102  0.155704511 0.00492380897 0.01212458364 164.918252
 theta[7][1]    0.1174127833  0.137602668 0.00435137842 0.01237314361 123.678326
 theta[7][2]    0.8825872167  0.137602668 0.00435137842 0.01237314361 123.678326
theta[16][1]    0.1706030767  0.124533511 0.00393809539 0.00765020838 264.987833
theta[16][2]    0.8293969233  0.124533511 0.00393809539 0.00765020838 264.987833
 theta[5][1]    0.9518620839  0.077851523 0.00246188132 0.00763801438 103.889889
 theta[5][2]    0.0481379161  0.077851523 0.00246188132 0.00763801438 103.889889
     elapsed    0.0303071430  0.013117622 0.00041481563 0.00087597986 224.244590
 theta[8][1]    0.9622365600  0.055052641 0.00174091736 0.00249145888 488.257437
 theta[8][2]    0.0377634400  0.055052641 0.00174091736 0.00249145888 488.257437
 theta[6][1]    0.0763407178  0.105505272 0.00333636965 0.00825884493 163.196071
 theta[6][2]    0.9236592822  0.105505272 0.00333636965 0.00825884493 163.196071
theta[11][1]    0.0742003217  0.096728087 0.00305881070 0.01017425257  90.385793
theta[11][2]    0.9257996783  0.096728087 0.00305881070 0.01017425257  90.385793
   phi[2][1]    0.0040216286  0.008836737 0.00027944215 0.00153088570  33.319486
   phi[2][2]    0.0066934093  0.057716596 0.00182515902 0.00382133992 228.123526
   phi[2][3]    0.2725532526  0.066250377 0.00209502088 0.00936268634  50.069789
   phi[2][4]    0.4177515421  0.065573242 0.00207360798 0.00518046926 160.219403
   phi[2][5]    0.2989801674  0.054579547 0.00172595681 0.00297890924 335.695333
          lp -441.1147167227 19.369706346 0.61252389661 1.97205821269  96.473184
theta[10][1]    0.9664457589  0.071819371 0.00227112794 0.00479864158 223.999254
theta[10][2]    0.0335542411  0.071819371 0.00227112794 0.00479864158 223.999254
theta[20][1]    0.1100369740  0.160965855 0.00509018726 0.02003499333  64.548940
theta[20][2]    0.8899630260  0.160965855 0.00509018726 0.02003499333  64.548940
 theta[4][1]    0.4231252511  0.133437457 0.00421966288 0.00539063259 612.739738
 theta[4][2]    0.5768747489  0.133437457 0.00421966288 0.00539063259 612.739738
theta[18][1]    0.8362901182  0.133834712 0.00423222521 0.01208874477 122.567442
theta[18][2]    0.1637098818  0.133834712 0.00423222521 0.01208874477 122.567442

