                   Mean           SD        Naive SE        MCSE         ESS    
 theta[9][1]    0.0725127751 0.091260282 0.00288590350 0.00321216772  807.174031
 theta[9][2]    0.9274872249 0.091260282 0.00288590350 0.00321216772  807.174031
theta[14][1]    0.0518409031 0.083484783 0.00264002063 0.00348216344  574.799442
theta[14][2]    0.9481590969 0.083484783 0.00264002063 0.00348216344  574.799442
theta[13][1]    0.6876877602 0.197517276 0.00624604469 0.00903563609  477.851234
theta[13][2]    0.3123122398 0.197517276 0.00624604469 0.00903563609  477.851234
 theta[3][1]    0.3883882563 0.132236923 0.00418169866 0.00523798105  637.349461
 theta[3][2]    0.6116117437 0.132236923 0.00418169866 0.00523798105  637.349461
theta[25][1]    0.9500914727 0.071631324 0.00226518135 0.00232191302  951.730659
theta[25][2]    0.0499085273 0.071631324 0.00226518135 0.00232191302  951.730659
 theta[1][1]    0.1082345656 0.131048866 0.00414412900 0.00467055451  787.280769
 theta[1][2]    0.8917654344 0.131048866 0.00414412900 0.00467055451  787.280769
   phi[1][1]    0.3936187833 0.049980796 0.00158053154 0.00144085626 1000.000000
   phi[1][2]    0.3356067057 0.046180195 0.00146034599 0.00223129600  428.348404
   phi[1][3]    0.2584899887 0.056572486 0.00178897910 0.00168573986 1000.000000
   phi[1][4]    0.0042968564 0.018849274 0.00059606637 0.00121866625  239.232226
   phi[1][5]    0.0079876658 0.016535653 0.00052290325 0.00060683792  742.501380
theta[15][1]    0.9243733849 0.095727003 0.00302715364 0.00494304184  375.042389
theta[15][2]    0.0756266151 0.095727003 0.00302715364 0.00494304184  375.042389
theta[21][1]    0.6448880934 0.181927306 0.00575304657 0.00581871991  977.554262
theta[21][2]    0.3551119066 0.181927306 0.00575304657 0.00581871991  977.554262
theta[23][1]    0.2985546944 0.161728627 0.00511430825 0.00630307928  658.367314
theta[23][2]    0.7014453056 0.161728627 0.00511430825 0.00630307928  658.367314
 theta[2][1]    0.0585072821 0.082821059 0.00261903185 0.00227722975 1000.000000
 theta[2][2]    0.9414927179 0.082821059 0.00261903185 0.00227722975 1000.000000
theta[19][1]    0.1970418934 0.148818110 0.00470604183 0.00398079377 1000.000000
theta[19][2]    0.8029581066 0.148818110 0.00470604183 0.00398079377 1000.000000
theta[12][1]    0.1292519030 0.147949404 0.00467857094 0.00417953391 1000.000000
theta[12][2]    0.8707480970 0.147949404 0.00467857094 0.00417953391 1000.000000
theta[22][1]    0.7416819400 0.175691915 0.00555586618 0.00415636385 1000.000000
theta[22][2]    0.2583180600 0.175691915 0.00555586618 0.00415636385 1000.000000
theta[17][1]    0.8114002936 0.125558298 0.00397050201 0.00333153867 1000.000000
theta[17][2]    0.1885997064 0.125558298 0.00397050201 0.00333153867 1000.000000
theta[24][1]    0.3894448680 0.139251652 0.00440352388 0.00333198565 1000.000000
theta[24][2]    0.6105551320 0.139251652 0.00440352388 0.00333198565 1000.000000
 theta[7][1]    0.0990030408 0.118390495 0.00374383617 0.00260222155 1000.000000
 theta[7][2]    0.9009969592 0.118390495 0.00374383617 0.00260222155 1000.000000
theta[16][1]    0.1570895162 0.129612168 0.00409869665 0.00568994407  518.890306
theta[16][2]    0.8429104838 0.129612168 0.00409869665 0.00568994407  518.890306
 theta[5][1]    0.9527412984 0.068906596 0.00217901789 0.00216766364 1000.000000
 theta[5][2]    0.0472587016 0.068906596 0.00217901789 0.00216766364 1000.000000
     elapsed    0.3648744147 0.056773624 0.00179533964 0.01002283592   32.085735
 theta[8][1]    0.9537594833 0.068071107 0.00215259743 0.00430561691  249.950990
 theta[8][2]    0.0462405167 0.068071107 0.00215259743 0.00430561691  249.950990
 theta[6][1]    0.0668808649 0.097536545 0.00308437639 0.00432606404  508.333639
 theta[6][2]    0.9331191351 0.097536545 0.00308437639 0.00432606404  508.333639
theta[11][1]    0.0749273362 0.112198646 0.00354803270 0.00385023482  849.182030
theta[11][2]    0.9250726638 0.112198646 0.00354803270 0.00385023482  849.182030
   phi[2][1]    0.0066308851 0.012254146 0.00038751013 0.00042839266  818.242607
   phi[2][2]    0.0037390973 0.020124417 0.00063638995 0.00110303203  332.866723
   phi[2][3]    0.2794600023 0.049473524 0.00156449020 0.00239982693  424.996983
   phi[2][4]    0.4043985430 0.050625470 0.00160091794 0.00276741590  334.648804
   phi[2][5]    0.3057714724 0.042790705 0.00135316092 0.00148852049  826.397998
          lp -440.0468764125 8.004814235 0.25313445229 0.60216200964  176.715975
theta[10][1]    0.9589945033 0.056961780 0.00180128964 0.00309760051  338.155371
theta[10][2]    0.0410054967 0.056961780 0.00180128964 0.00309760051  338.155371
theta[20][1]    0.1083313044 0.136950278 0.00433074803 0.00305074388 1000.000000
theta[20][2]    0.8916686956 0.136950278 0.00433074803 0.00305074388 1000.000000
 theta[4][1]    0.4179810952 0.143931836 0.00455152429 0.00429528377 1000.000000
 theta[4][2]    0.5820189048 0.143931836 0.00455152429 0.00429528377 1000.000000
theta[18][1]    0.8182806470 0.137282172 0.00434124345 0.00676180386  412.195403
theta[18][2]    0.1817193530 0.137282172 0.00434124345 0.00676180386  412.195403

