                    Mean               SD            Naive SE            MCSE            ESS    
 theta[9][1]  5.123470582×10⁻¹  3.579715023×10⁻¹    0.0113200528   1.1869985576×10⁻²  909.487064
 theta[9][2]  4.876529418×10⁻¹  3.579715023×10⁻¹    0.0113200528   1.1869985576×10⁻²  909.487064
theta[14][1]  5.127529397×10⁻¹  3.595944578×10⁻¹    0.0113713752   1.4864962935×10⁻²  585.191916
theta[14][2]  4.872470603×10⁻¹  3.595944578×10⁻¹    0.0113713752   1.4864962935×10⁻²  585.191916
theta[13][1]  5.070710033×10⁻¹  3.539577087×10⁻¹    0.0111931255  9.89794039709×10⁻³ 1000.000000
theta[13][2]  4.929289967×10⁻¹  3.539577087×10⁻¹    0.0111931255  9.89794039709×10⁻³ 1000.000000
 theta[3][1]  4.959447311×10⁻¹  3.478776765×10⁻¹    0.0110008580    1.482666975×10⁻²  550.510863
 theta[3][2]  5.040552689×10⁻¹  3.478776765×10⁻¹    0.0110008580    1.482666975×10⁻²  550.510863
theta[25][1]  5.049245175×10⁻¹  3.540125234×10⁻¹    0.0111948589   1.1975278827×10⁻²  873.908540
theta[25][2]  4.950754825×10⁻¹  3.540125234×10⁻¹    0.0111948589   1.1975278827×10⁻²  873.908540
 theta[1][1]  4.752332964×10⁻¹  3.487102023×10⁻¹    0.0110271848  9.78078049077×10⁻³ 1000.000000
 theta[1][2]  5.247667036×10⁻¹  3.487102023×10⁻¹    0.0110271848  9.78078049077×10⁻³ 1000.000000
   phi[1][1]  1.865081411×10⁻¹  2.688820132×10⁻¹    0.0085027958  9.46133158945×10⁻³  807.642148
   phi[1][2]  2.036569009×10⁻¹  2.782715445×10⁻¹    0.0087997189  9.24968489276×10⁻³  905.073233
   phi[1][3]  2.076938422×10⁻¹  2.831774821×10⁻¹    0.0089548583  8.86163974585×10⁻³ 1000.000000
   phi[1][4]  1.999715572×10⁻¹  2.832927924×10⁻¹    0.0089585047  7.91896693394×10⁻³ 1000.000000
   phi[1][5]  2.021695585×10⁻¹  2.898475608×10⁻¹    0.0091657847   1.0158552843×10⁻²  814.095983
theta[15][1]  5.059984723×10⁻¹  3.557003601×10⁻¹    0.0112482330   1.2467987314×10⁻²  813.909104
theta[15][2]  4.940015277×10⁻¹  3.557003601×10⁻¹    0.0112482330   1.2467987314×10⁻²  813.909104
theta[21][1]  4.894332707×10⁻¹  3.516939134×10⁻¹    0.0111215381  7.88589159965×10⁻³ 1000.000000
theta[21][2]  5.105667293×10⁻¹  3.516939134×10⁻¹    0.0111215381  7.88589159965×10⁻³ 1000.000000
theta[23][1]  4.919116804×10⁻¹  3.539419949×10⁻¹    0.0111926286   1.4632373006×10⁻²  585.106148
theta[23][2]  5.080883196×10⁻¹  3.539419949×10⁻¹    0.0111926286   1.4632373006×10⁻²  585.106148
 theta[2][1]  5.140359366×10⁻¹  3.456778016×10⁻¹    0.0109312919   1.0247902468×10⁻² 1000.000000
 theta[2][2]  4.859640634×10⁻¹  3.456778016×10⁻¹    0.0109312919   1.0247902468×10⁻² 1000.000000
theta[19][1]   4.92974413×10⁻¹  3.570179667×10⁻¹    0.0112898994  9.22399899947×10⁻³ 1000.000000
theta[19][2]   5.07025587×10⁻¹  3.570179667×10⁻¹    0.0112898994  9.22399899947×10⁻³ 1000.000000
theta[12][1]  5.062868709×10⁻¹  3.564007424×10⁻¹    0.0112703811   1.5395492036×10⁻²  535.907769
theta[12][2]  4.937131291×10⁻¹  3.564007424×10⁻¹    0.0112703811   1.5395492036×10⁻²  535.907769
theta[22][1]  5.065764895×10⁻¹  3.577315553×10⁻¹    0.0113124651   1.2414533393×10⁻²  830.335678
theta[22][2]  4.934235105×10⁻¹  3.577315553×10⁻¹    0.0113124651   1.2414533393×10⁻²  830.335678
theta[17][1]  5.213146201×10⁻¹   3.49844366×10⁻¹    0.0110630502   1.4107871418×10⁻²  614.931560
theta[17][2]  4.786853799×10⁻¹   3.49844366×10⁻¹    0.0110630502   1.4107871418×10⁻²  614.931560
theta[24][1]  5.019419701×10⁻¹  3.533896589×10⁻¹    0.0111751622  9.35857013346×10⁻³ 1000.000000
theta[24][2]  4.980580299×10⁻¹  3.533896589×10⁻¹    0.0111751622  9.35857013346×10⁻³ 1000.000000
 theta[7][1]  4.985849901×10⁻¹   3.58548349×10⁻¹    0.0113382943    1.396328684×10⁻²  659.356262
 theta[7][2]  5.014150099×10⁻¹   3.58548349×10⁻¹    0.0113382943    1.396328684×10⁻²  659.356262
theta[16][1]  4.873185596×10⁻¹  3.562620603×10⁻¹    0.0112659955  8.63850951813×10⁻³ 1000.000000
theta[16][2]  5.126814404×10⁻¹  3.562620603×10⁻¹    0.0112659955  8.63850951813×10⁻³ 1000.000000
 theta[5][1]  4.871302388×10⁻¹  3.592867088×10⁻¹    0.0113616433  4.99147114482×10⁻³ 1000.000000
 theta[5][2]  5.128697612×10⁻¹  3.592867088×10⁻¹    0.0113616433  4.99147114482×10⁻³ 1000.000000
     elapsed 5.1207824384×10⁻² 2.3509835061×10⁻²    0.0007434463 8.561434276633×10⁻⁴  754.060359
 theta[8][1]  4.877640108×10⁻¹  3.595457337×10⁻¹    0.0113698344  8.80658223566×10⁻³ 1000.000000
 theta[8][2]  5.122359892×10⁻¹  3.595457337×10⁻¹    0.0113698344  8.80658223566×10⁻³ 1000.000000
 theta[6][1]  4.783625418×10⁻¹  3.601614153×10⁻¹    0.0113893040  7.63055991385×10⁻³ 1000.000000
 theta[6][2]  5.216374582×10⁻¹  3.601614153×10⁻¹    0.0113893040  7.63055991385×10⁻³ 1000.000000
theta[11][1]  5.038427921×10⁻¹   3.54117207×10⁻¹    0.0111981693   1.0102928537×10⁻² 1000.000000
theta[11][2]  4.961572079×10⁻¹   3.54117207×10⁻¹    0.0111981693   1.0102928537×10⁻² 1000.000000
   phi[2][1]  1.948626303×10⁻¹  2.850033901×10⁻¹    0.0090125985   7.8957594209×10⁻³ 1000.000000
   phi[2][2]  2.077643715×10⁻¹  2.942385051×10⁻¹    0.0093046385  8.84645132665×10⁻³ 1000.000000
   phi[2][3]   1.98569993×10⁻¹  2.887304927×10⁻¹    0.0091304599   1.0143559398×10⁻²  810.222968
   phi[2][4]  1.982474328×10⁻¹  2.832372226×10⁻¹    0.0089567474   1.3239230449×10⁻²  457.693949
   phi[2][5]  2.005555723×10⁻¹  2.841131877×10⁻¹    0.0089844479  6.80516326248×10⁻³ 1000.000000
          lp   -3.96704173×10⁵     2.2973020×10⁵ 7264.7067968999      7.61560962×10⁴    9.099695
theta[10][1]   5.11068753×10⁻¹  3.578515927×10⁻¹    0.0113162610    1.466883662×10⁻²  595.133731
theta[10][2]   4.88931247×10⁻¹  3.578515927×10⁻¹    0.0113162610    1.466883662×10⁻²  595.133731
theta[20][1]  5.193776546×10⁻¹  3.560253826×10⁻¹    0.0112585111  5.81365339303×10⁻³ 1000.000000
theta[20][2]  4.806223454×10⁻¹  3.560253826×10⁻¹    0.0112585111  5.81365339303×10⁻³ 1000.000000
 theta[4][1]  5.065699536×10⁻¹  3.603449702×10⁻¹    0.0113951085   1.2068090378×10⁻²  891.578980
