                 Mean         SD         Naive SE        MCSE          ESS    
 theta[9][1] 0.790984169 0.0273778959 0.000865765085 0.0081980029   11.1528022
 theta[9][2] 0.209015831 0.0273778959 0.000865765085 0.0081980029   11.1528022
      z[100] 1.000000000 0.0000000000 0.000000000000 0.0000000000 1000.0000000
      z[245] 1.091000000 0.2877530222 0.009099549538 0.0395376052   52.9686699
        z[9] 1.153000000 0.3601676286 0.011389500460 0.1078481443   11.1528022
      z[160] 1.455000000 0.4982200550 0.015755101498 0.1280646538   15.1350497
      z[203] 1.821000000 0.3835441384 0.012128730606 0.0805460531   22.6747325
      z[230] 1.833000000 0.3731624985 0.011800434325 0.0270411209  190.4349266
       z[98] 1.615000000 0.4868387947 0.015395194445 0.1241884768   15.3676604
      z[208] 1.765000000 0.4242109793 0.013414729030 0.0575084535   54.4127195
       z[37] 1.050000000 0.2180540014 0.006895472975 0.0500000000   19.0190190
      z[109] 1.000000000 0.0000000000 0.000000000000 0.0000000000 1000.0000000
 theta[7][1] 0.685973635 0.0368418026 0.001165040095 0.0110318633   11.1528022
 theta[7][2] 0.314026365 0.0368418026 0.001165040095 0.0110318633   11.1528022
      z[154] 2.000000000 0.0000000000 0.000000000000 0.0000000000 1000.0000000
       z[42] 1.000000000 0.0000000000 0.000000000000 0.0000000000 1000.0000000
      z[149] 1.982000000 0.1330176443 0.004206387250 0.0180000000   54.6101657
       z[88] 1.153000000 0.3601676286 0.011389500460 0.1078481443   11.1528022
      z[189] 1.325000000 0.4686092131 0.014818724459 0.1088653603   18.5285834
      z[237] 1.094000000 0.2919747408 0.009233052001 0.0393615718   55.0231815
      z[131] 1.104000000 0.3054132893 0.009658016219 0.0613948966   24.7463594
      z[165] 1.680000000 0.4667095647 0.014758652304 0.1190891356   15.3585111
       z[76] 1.950000000 0.2180540014 0.006895472975 0.0500000000   19.0190190
      z[181] 1.176000000 0.3810107205 0.012048616899 0.1050946663   13.1435608
theta[13][1] 0.846974524 0.3106068797 0.009822251969 0.0930077356   11.1528022
theta[13][2] 0.153025476 0.3106068797 0.009822251969 0.0930077356   11.1528022
      z[220] 1.161000000 0.3677148545 0.011628164697 0.1068794752   11.8367840
      z[134] 1.879000000 0.3262904618 0.010318210381 0.0651570752   25.0775783
       z[66] 1.950000000 0.2180540014 0.006895472975 0.0500000000   19.0190190
 theta[2][1] 0.482673099 0.1908929660 0.006036565619 0.0571607510   11.1528022
 theta[2][2] 0.517326901 0.1908929660 0.006036565619 0.0571607510   11.1528022
      z[111] 1.000000000 0.0000000000 0.000000000000 0.0000000000 1000.0000000
      z[168] 1.847000000 0.3601676286 0.011389500460 0.1078481443   11.1528022
      z[178] 1.175000000 0.3801572300 0.012021627158 0.1066171760   12.7137058
      z[129] 1.065000000 0.2466492162 0.007799733062 0.0530251513   21.6369304
       z[19] 2.000000000 0.0000000000 0.000000000000 0.0000000000 1000.0000000
        z[2] 1.153000000 0.3601676286 0.011389500460 0.1078481443   11.1528022
       z[60] 1.000000000 0.0000000000 0.000000000000 0.0000000000 1000.0000000
       z[22] 1.847000000 0.3601676286 0.011389500460 0.1078481443   11.1528022
       z[45] 1.153000000 0.3601676286 0.011389500460 0.1078481443   11.1528022
      z[182] 1.225000000 0.4177912751 0.013211720159 0.1198633481   12.1491508
      z[228] 1.894000000 0.3079916539 0.009739551266 0.0670522185   21.0985006
      z[184] 1.153000000 0.3601676286 0.011389500460 0.1078481443   11.1528022
      z[250] 1.122000000 0.3274495736 0.010354864713 0.0506798229   41.7463665
      z[108] 1.153000000 0.3601676286 0.011389500460 0.1078481443   11.1528022
      z[191] 1.336000000 0.4725752081 0.014944140234 0.1049147802   20.2893679
      z[252] 1.757000000 0.4291097006 0.013569640199 0.0463812702   85.5955899
theta[14][1] 0.223867535 0.0014740247 0.000046612754 0.0004413801   11.1528022
theta[14][2] 0.776132465 0.0014740247 0.000046612754 0.0004413801   11.1528022
       z[54] 1.000000000 0.0000000000 0.000000000000 0.0000000000 1000.0000000
      z[153] 2.000000000 0.0000000000 0.000000000000 0.0000000000 1000.0000000
       z[96] 1.153000000 0.3601676286 0.011389500460 0.1078481443   11.1528022
theta[15][1] 0.027407894 0.0645191889 0.002040275896 0.0193195452   11.1528022
