# stan_version_major = 2
# stan_version_minor = 9
# stan_version_patch = 0
# model = beta_model
# method = sample (Default)
#   sample
#     num_samples = 1000 (Default)
#     num_warmup = 1000 (Default)
#     save_warmup = 0 (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = 1 (Default)
#       gamma = 0.050000000000000003 (Default)
#       delta = 0.80000000000000004 (Default)
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 1
# id = 4
# data
#   file = beta_4.data.R
# init = 2 (Default)
# random
#   seed = 1169982881
# output
#   file = beta_samples_4.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,n_divergent__,theta
# Adaptation terminated
# Step size = 0.978734
# Diagonal elements of inverse mass matrix:
# 0.376005

-7.76579,0.987244,0.978734,1,1,0,0.404087
-7.69815,1,0.978734,2,3,0,0.381463
-7.63963,0.997778,0.978734,2,3,0,0.326005
-8.09778,0.932621,0.978734,2,3,0,0.469797
-7.64348,0.999544,0.978734,2,3,0,0.347459
-8.58905,0.803516,0.978734,2,3,0,0.530985
-8.12354,1,0.978734,1,1,0,0.473662
-9.10444,0.922662,0.978734,2,3,0,0.578805
-8.3882,1,0.978734,1,1,0,0.508582
-10.2519,0.611124,0.978734,1,1,0,0.657662
-9.55891,1,0.978734,2,3,0,0.613474
-8.17706,1,0.978734,1,1,0,0.481379
-8.58742,0.638805,0.978734,2,3,0,0.169358
-7.76537,0.986426,0.978734,2,3,0,0.267379
-7.80097,0.997521,0.978734,2,3,0,0.259168
-7.74129,0.971183,0.978734,2,3,0,0.396784
-7.76031,0.933356,0.978734,2,3,0,0.268645
-7.67853,0.992138,0.978734,2,3,0,0.295479
-7.66047,0.99301,0.978734,2,3,0,0.362463
-8.1629,0.76253,0.978734,2,3,0,0.206214
-8.41548,0.985979,0.978734,2,3,0,0.182547
-8.15525,1,0.978734,1,1,0,0.207038
-8.19303,0.993368,0.978734,1,1,0,0.203039
-8.52575,0.946059,0.978734,1,1,0,0.173875
-8.39591,1,0.978734,2,3,0,0.184176
-8.17742,1,0.978734,1,1,0,0.204669
-8.41685,0.960235,0.978734,1,1,0,0.182434
-7.65694,0.992133,0.978734,2,3,0,0.307333
-7.70341,0.995339,0.978734,3,7,0,0.383567
-7.87698,0.956012,0.978734,1,1,0,0.430873
-8.85625,0.62451,0.978734,2,3,0,0.151896
-8.29516,1,0.978734,1,1,0,0.193051
-8.88013,0.912401,0.978734,1,1,0,0.150494
-8.59956,1,0.978734,2,3,0,0.168494
-11.4281,0.829157,0.978734,3,7,0,0.716954
