# stan_version_major = 2
# stan_version_minor = 9
# stan_version_patch = 0
# model = betabinomialstr_model
# method = sample (Default)
#   sample
#     num_samples = 1000 (Default)
#     num_warmup = 1000 (Default)
#     save_warmup = 0 (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = 1 (Default)
#       gamma = 0.050000000000000003 (Default)
#       delta = 0.80000000000000004 (Default)
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 1
# id = 1
# data
#   file = betabinomialstr_1.data.R
# init = 2 (Default)
# random
#   seed = 792387560
# output
#   file = betabinomialstr_samples_1.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,n_divergent__,theta
# Adaptation terminated
# Step size = 0.984318
# Diagonal elements of inverse mass matrix:
# 0.336302

-8.38653,1,0.984318,2,3,0,0.184967
-8.50565,0.81197,0.984318,2,3,0,0.522016
-8.97405,0.892643,0.984318,1,1,0,0.567728
-9.10435,1,0.984318,3,7,0,0.138288
-7.89763,0.974509,0.984318,2,3,0,0.241038
-7.77175,1,0.984318,1,1,0,0.265819
-7.77971,0.965555,0.984318,2,3,0,0.407937
-7.64699,1,0.984318,2,3,0,0.315432
-7.89785,0.95025,0.984318,2,3,0,0.241002
-7.63825,0.994284,0.984318,2,3,0,0.331625
-8.0336,0.912559,0.984318,2,3,0,0.459672
-8.1891,0.962847,0.984318,1,1,0,0.483062
-7.87102,1,0.984318,1,1,0,0.429617
-7.70566,0.959038,0.984318,2,3,0,0.284714
-7.87524,0.935781,0.984318,2,3,0,0.430507
-7.70985,1,0.984318,1,1,0,0.386034
-7.73623,0.965275,0.984318,2,3,0,0.275108
-7.64161,0.998502,0.984318,2,3,0,0.322113
-7.73921,0.989061,0.984318,2,3,0,0.396126
-7.73921,0.724566,0.984318,2,3,0,0.396126
-7.63858,0.998466,0.984318,2,3,0,0.337234
-7.66315,0.993349,0.984318,2,3,0,0.303408
-8.27927,0.938395,0.984318,2,3,0,0.495116
-7.90263,1,0.984318,3,7,0,0.240217
-7.69907,0.993419,0.984318,2,3,0,0.287077
-9.90583,0.739731,0.984318,2,3,0,0.10489
-7.68091,0.997073,0.984318,3,7,0,0.373845
-7.68091,0.773637,0.984318,3,7,0,0.373845
-7.665,1,0.984318,1,1,0,0.365318
-8.25077,0.822099,0.984318,2,3,0,0.197256
-7.73089,0.990954,0.984318,2,3,0,0.276654
-7.72368,0.896619,0.984318,2,3,0,0.278823
-7.63817,0.99808,0.984318,2,3,0,0.333181
-8.38912,0.820663,0.984318,2,3,0,0.184748
-8.02298,1,0.984318,2,3,0,0.222722
-8.19515,0.972088,0.984318,1,1,0,0.202819
-7.99833,0.915034,0.984318,2,3,0,0.453762
-7.74124,0.611668,0.984318,2,3,0,0.273695
-7.85847,0.977989,0.984318,1,1,0,0.247815
-8.70071,0.929395,0.984318,3,7,0,0.542363
-8.26452,1,0.984318,1,1,0,0.493206
-8.26452,0.802631,0.984318,3,7,0,0.493206
-7.96833,1,0.984318,1,1,0,0.448507
-7.96833,0.782236,0.984318,2,3,0,0.448507
-7.81365,0.916576,0.984318,2,3,0,0.256489
-9.45769,0.884697,0.984318,2,3,0,0.606216
-12.2917,0.540651,0.984318,1,1,0,0.75189
-9.65876,0.886778,0.984318,3,7,0,0.113838
-7.8529,0.986793,0.984318,3,7,0,0.425698
-8.20501,0.800956,0.984318,2,3,0,0.201807
-8.34419,0.955068,0.984318,2,3,0,0.188624
-7.64618,0.966894,0.984318,2,3,0,0.350696
-7.76967,0.984803,0.984318,2,3,0,0.266324
-7.86034,0.942257,0.984318,2,3,0,0.427327
-7.86357,1,0.984318,3,7,0,0.246895
-7.75142,0.988587,0.984318,2,3,0,0.270942
-7.88435,0.975281,0.984318,1,1,0,0.243266
-7.63821,0.994436,0.984318,2,3,0,0.33207
-7.92871,0.934762,0.984318,2,3,0,0.441194
-8.02868,0.85904,0.984318,2,3,0,0.221982
-8.28735,0.890654,0.984318,2,3,0,0.496153
-7.91647,1,0.984318,1,1,0,0.43884
-7.8399,0.93031,0.984318,2,3,0,0.251274
-7.72425,0.967045,0.984318,2,3,0,0.391193
-7.67643,0.92623,0.984318,2,3,0,0.296455
-7.67458,1,0.984318,3,7,0,0.370677
-8.00078,0.882793,0.984318,2,3,0,0.22567
-7.72793,0.991678,0.984318,2,3,0,0.277533
-7.65227,0.99778,0.984318,2,3,0,0.310758
-7.69452,0.831526,0.984318,2,3,0,0.379955
-7.66621,0.984821,0.984318,2,3,0,0.301661
-9.30552,0.607105,0.984318,2,3,0,0.128596
-9.77097,0.95306,0.984318,1,1,0,0.10965
-10.4572,0.941316,0.984318,1,1,0,0.0880373
-9.57847,1,0.984318,1,1,0,0.116972
-9.43034,1,0.984318,1,1,0,0.123083
-8.95692,1,0.984318,1,1,0,0.146126
-9.86664,0.904052,0.984318,1,1,0,0.106244
-7.69053,0.99643,0.984318,3,7,0,0.378247
-7.69053,0.576126,0.984318,2,3,0,0.378247
-7.80312,0.968783,0.984318,2,3,0,0.414021
-8.00122,0.953673,0.984318,1,1,0,0.454256
-7.9271,0.860422,0.984318,3,7,0,0.236325
-7.66484,0.999737,0.984318,3,7,0,0.36522
-7.64198,0.881875,0.984318,2,3,0,0.321527
-7.65474,0.98035,0.984318,2,3,0,0.358396
-7.85153,0.964043,0.984318,2,3,0,0.425395
-7.643,0.997605,0.984318,2,3,0,0.346792
-9.39729,0.776429,0.984318,2,3,0,0.601767
-9.69489,0.933258,0.984318,1,1,0,0.622863
-7.82474,1,0.984318,2,3,0,0.254236
-8.29849,0.953581,0.984318,3,7,0,0.497572
-7.98272,1,0.984318,1,1,0,0.451055
-7.98272,0.812747,0.984318,1,1,0,0.451055
-7.94454,1,0.984318,1,1,0,0.444172
-7.95986,0.86074,0.984318,2,3,0,0.231406
-7.65491,0.959197,0.984318,2,3,0,0.358525
-8.17374,0.848233,0.984318,2,3,0,0.205058
-8.13741,1,0.984318,1,1,0,0.208993
-8.86272,0.937283,0.984318,3,7,0,0.557778
-7.64264,1,0.984318,2,3,0,0.320556
-7.67601,0.996699,0.984318,2,3,0,0.371415
-8.33126,0.79529,0.984318,2,3,0,0.189771
-8.34953,0.997266,0.984318,1,1,0,0.188154
-7.97918,0.980308,0.984318,2,3,0,0.228647
-7.68944,0.995803,0.984318,2,3,0,0.29079
-7.65212,0.992671,0.984318,2,3,0,0.356313
-7.65604,0.999707,0.984318,2,3,0,0.359373
-8.50477,0.838922,0.984318,2,3,0,0.521918
-8.34879,1,0.984318,2,3,0,0.503833
-7.68654,1,0.984318,2,3,0,0.29198
-7.65636,1,0.984318,1,1,0,0.307736
-7.7205,0.913988,0.984318,2,3,0,0.279809
-7.68924,0.982816,0.984318,2,3,0,0.37768
-7.68924,0.936505,0.984318,2,3,0,0.37768
-7.72753,0.968719,0.984318,2,3,0,0.277654
-7.72753,0.820212,0.984318,2,3,0,0.277654
-8.78077,0.829118,0.984318,2,3,0,0.156475
-9.44966,0.923233,0.984318,1,1,0,0.12226
-7.68972,0.996803,0.984318,3,7,0,0.377893
-7.87279,0.976109,0.984318,3,7,0,0.245262
-8.08431,0.826613,0.984318,2,3,0,0.467733
-7.64673,0.997171,0.984318,2,3,0,0.351292
-7.6391,0.999734,0.984318,2,3,0,0.339212
-7.81373,0.954652,0.984318,2,3,0,0.256473
-10.5322,0.799902,0.984318,2,3,0,0.67331
-8.67833,1,0.984318,2,3,0,0.540135
-8.06516,1,0.984318,2,3,0,0.464744
-7.79248,1,0.984318,2,3,0,0.41131
-7.69232,1,0.984318,1,1,0,0.37902
-7.63938,0.997119,0.984318,2,3,0,0.326669
-7.90022,0.941374,0.984318,2,3,0,0.240611
-7.7922,1,0.984318,2,3,0,0.261088
-7.63832,0.997016,0.984318,2,3,0,0.330972
-10.6855,0.411257,0.984318,2,3,0,0.0820771
-8.70888,0.991013,0.984318,2,3,0,0.161057
-8.33929,0.971876,0.984318,2,3,0,0.189057
-7.70424,0.956791,0.984318,2,3,0,0.383892
-8.57145,0.84316,0.984318,2,3,0,0.529127
-7.80405,1,0.984318,3,7,0,0.258506
-9.09872,0.816556,0.984318,2,3,0,0.138575
-9.16379,0.997503,0.984318,2,3,0,0.135311
-8.3874,1,0.984318,1,1,0,0.184893
-8.25222,1,0.984318,1,1,0,0.197115
-8.01879,0.910652,0.984318,2,3,0,0.457224
-8.77588,0.831483,0.984318,1,1,0,0.549664
-7.63875,1,0.984318,2,3,0,0.337974
-7.67736,0.995116,0.984318,2,3,0,0.296018
-8.41784,0.865508,0.984318,2,3,0,0.182353
-8.41784,0.696552,0.984318,2,3,0,0.182353
-7.77152,0.988302,0.984318,2,3,0,0.265876
-7.79403,0.953584,0.984318,2,3,0,0.411712
-7.80683,0.99899,0.984318,2,3,0,0.414945
-8.61824,0.887207,0.984318,3,7,0,0.16718
-8.96123,0.956437,0.984318,1,1,0,0.145887
-7.71448,1,0.984318,2,3,0,0.281737
-7.7077,0.980342,0.984318,2,3,0,0.385223
-7.69837,0.979054,0.984318,2,3,0,0.287336
-7.75462,0.947962,0.984318,2,3,0,0.40085
-7.84622,0.978566,0.984318,1,1,0,0.424213
-7.84564,1,0.984318,1,1,0,0.424083
-7.74425,1,0.984318,1,1,0,0.397709
-7.78982,0.989337,0.984318,1,1,0,0.41062
-8.21051,0.804338,0.984318,3,7,0,0.201248
-8.05858,0.908253,0.984318,2,3,0,0.463703
-7.64132,1,0.984318,2,3,0,0.322586
-7.69672,0.989396,0.984318,2,3,0,0.287952
-7.82028,0.986876,0.984318,3,7,0,0.418217
-7.82028,0.914257,0.984318,2,3,0,0.418217
-7.65163,0.984337,0.984318,2,3,0,0.311269
-7.64004,0.994732,0.984318,2,3,0,0.341694
-7.72401,0.989379,0.984318,2,3,0,0.27872
-7.6384,0.997165,0.984318,2,3,0,0.336246
-8.68003,0.792384,0.984318,2,3,0,0.540306
-7.97541,1,0.984318,2,3,0,0.449767
-7.82817,0.910412,0.984318,2,3,0,0.253554
-8.009,0.98936,0.984318,2,3,0,0.224566
-7.66646,0.972196,0.984318,2,3,0,0.36619
-8.29863,0.88234,0.984318,2,3,0,0.497591
-8.28411,1,0.984318,1,1,0,0.495739
-7.77189,0.911544,0.984318,2,3,0,0.265787
-7.64754,0.998195,0.984318,2,3,0,0.314882
-7.64524,0.997571,0.984318,2,3,0,0.349637
-7.69192,0.994216,0.984318,3,7,0,0.289804
-7.82829,0.947429,0.984318,2,3,0,0.42011
-7.81318,1,0.984318,1,1,0,0.416505
-7.77481,1,0.984318,1,1,0,0.406605
-8.54036,0.710829,0.984318,2,3,0,0.172785
-8.02897,1,0.984318,1,1,0,0.221945
-7.90991,0.843452,0.984318,2,3,0,0.239037
-7.68406,0.977809,0.984318,2,3,0,0.375332
-8.50129,0.746389,0.984318,2,3,0,0.17573
-9.3419,0.896626,0.984318,1,1,0,0.126952
-9.00512,1,0.984318,1,1,0,0.143488
-8.69774,1,0.984318,1,1,0,0.161788
-7.76681,0.980531,0.984318,2,3,0,0.267022
-7.68494,1,0.984318,2,3,0,0.292655
-8.13072,0.961796,0.984318,2,3,0,0.474722
-8.02446,0.866567,0.984318,2,3,0,0.22253
-8.1039,0.986851,0.984318,1,1,0,0.212788
-8.51045,0.754554,0.984318,2,3,0,0.17503
-8.29263,1,0.984318,1,1,0,0.193285
-7.64007,0.920753,0.984318,2,3,0,0.32498
-8.25318,0.861813,0.984318,2,3,0,0.197023
-7.72063,0.882034,0.984318,2,3,0,0.279771
-7.64915,0.991672,0.984318,2,3,0,0.353693
-7.6387,0.999214,0.984318,2,3,0,0.328921
-7.6387,0.60456,0.984318,2,3,0,0.328921
-7.6387,0.519396,0.984318,2,3,0,0.328921
-7.71927,0.933916,0.984318,2,3,0,0.280198
-7.66649,0.924765,0.984318,2,3,0,0.301505
-8.68306,0.803375,0.984318,2,3,0,0.162761
-8.69049,0.999012,0.984318,1,1,0,0.162267
-8.59197,1,0.984318,2,3,0,0.169033
-7.76018,0.902424,0.984318,3,7,0,0.402479
-8.29133,0.784753,0.984318,2,3,0,0.193407
-7.70787,0.988933,0.984318,2,3,0,0.28395
-7.70397,1,0.984318,1,1,0,0.28531
-8.80468,0.868582,0.984318,2,3,0,0.155
-9.61062,0.909796,0.984318,1,1,0,0.115703
