# stan_version_major = 2
# stan_version_minor = 9
# stan_version_patch = 0
# model = gauss_model
# method = sample (Default)
#   sample
#     num_samples = 1000 (Default)
#     num_warmup = 1000 (Default)
#     save_warmup = 0 (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = 1 (Default)
#       gamma = 0.050000000000000003 (Default)
#       delta = 0.80000000000000004 (Default)
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 1
# id = 2
# data
#   file = gauss_2.data.R
# init = 2 (Default)
# random
#   seed = 1244945196
# output
#   file = gauss_samples_2.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,n_divergent__,s,m
# Adaptation terminated
# Step size = 0.785198
# Diagonal elements of inverse mass matrix:
# 0.358382, 0.547428

-4.87555,0.904898,0.785198,2,3,0,1.95535,1.92424
-5.65354,0.977022,0.785198,3,7,0,0.585054,0.703373
-5.63239,1,0.785198,3,7,0,3.20479,1.94287
-4.20257,0.960608,0.785198,2,3,0,0.886845,1.062
-6.07206,0.550643,0.785198,2,3,0,2.5798,-0.253239
-5.95061,1,0.785198,1,1,0,2.58091,-0.177435
-6.04554,0.904248,0.785198,2,3,0,4.16117,0.713706
-5.71973,1,0.785198,1,1,0,3.73228,0.966507
-5.35528,1,0.785198,1,1,0,3.19419,1.00514
-4.1752,0.941662,0.785198,2,3,0,1.20868,0.83868
-4.28177,0.992841,0.785198,2,3,0,0.889171,1.41088
-5.22992,0.788054,0.785198,2,3,0,1.0628,2.07898
-4.23476,1,0.785198,2,3,0,0.915288,1.39213
-4.80941,0.81532,0.785198,1,1,0,0.730378,1.56039
-4.93592,1,0.785198,1,1,0,0.615524,1.1809
-6.52898,0.50438,0.785198,1,1,0,0.430953,1.16744
-5.41711,0.938578,0.785198,3,7,0,3.26935,0.947357
-4.32881,0.917802,0.785198,2,3,0,1.79626,1.08485
-4.94124,0.959639,0.785198,3,7,0,0.638513,1.38918
-4.94396,0.964874,0.785198,3,7,0,2.46502,1.62843
-4.84254,0.982524,0.785198,2,3,0,1.09996,1.93107
-4.68393,1,0.785198,1,1,0,1.158,1.87193
-4.87228,1,0.785198,2,3,0,1.62746,2.01204
-4.13875,0.770771,0.785198,3,7,0,0.927992,1.15783
-4.13875,0.294061,0.785198,1,1,0,0.927992,1.15783
-4.5898,0.911011,0.785198,3,7,0,1.91354,1.65188
-4.5898,0.689478,0.785198,2,3,0,1.91354,1.65188
-4.36836,0.98652,0.785198,2,3,0,1.24552,0.649986
-4.95196,0.799634,0.785198,1,1,0,0.879586,0.49967
-4.95196,0.752945,0.785198,2,3,0,0.879586,0.49967
-5.31911,0.783545,0.785198,3,7,0,2.68759,1.94662
-5.08436,1,0.785198,2,3,0,2.39839,1.882
-4.37746,1,0.785198,2,3,0,1.01049,1.61621
-4.38097,0.957348,0.785198,3,7,0,1.87516,1.10593
-4.09802,0.99983,0.785198,2,3,0,1.40827,1.15251
-4.63181,0.909667,0.785198,2,3,0,0.757378,0.838701
-5.0495,0.592222,0.785198,2,3,0,1.07175,2.01068
-4.56442,0.443477,0.785198,2,3,0,1.79534,0.62866
-4.91136,0.828824,0.785198,2,3,0,1.48396,2.0441
-4.17165,0.963054,0.785198,2,3,0,1.51298,1.32064
-6.3521,0.853893,0.785198,3,7,0,3.03243,2.67326
-6.67434,0.943473,0.785198,2,3,0,1.99603,2.88138
-8.08891,0.298574,0.785198,1,1,0,0.972828,2.77489
-4.53773,1,0.785198,2,3,0,1.97181,0.821662
-4.80421,0.963584,0.785198,2,3,0,1.38849,0.35335
-4.12118,0.900234,0.785198,2,3,0,1.03049,1.35846
-4.19562,0.932296,0.785198,2,3,0,1.29493,0.821883
-4.24013,0.970904,0.785198,2,3,0,0.875236,1.01174
-4.34954,0.752273,0.785198,2,3,0,0.816813,1.34536
-4.32636,0.60584,0.785198,2,3,0,1.5469,1.5726
-4.15452,0.991655,0.785198,2,3,0,1.26345,0.870458
-4.29644,0.894809,0.785198,2,3,0,1.25144,1.622
-4.23805,0.977552,0.785198,2,3,0,1.09593,0.792587
-4.11571,0.952456,0.785198,2,3,0,1.3971,1.31172
-4.31128,0.948065,0.785198,2,3,0,0.815624,1.26614
-4.0749,0.826032,0.785198,2,3,0,1.02074,1.20938
-4.15148,0.96302,0.785198,3,7,0,1.23688,0.870895
