# stan_version_major = 2
# stan_version_minor = 9
# stan_version_patch = 0
# model = lr_model
# method = sample (Default)
#   sample
#     num_samples = 1000 (Default)
#     num_warmup = 1000 (Default)
#     save_warmup = 0 (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = 1 (Default)
#       gamma = 0.050000000000000003 (Default)
#       delta = 0.80000000000000004 (Default)
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 1
# id = 3
# data
#   file = lr_3.data.R
# init = 2 (Default)
# random
#   seed = 1170592246
# output
#   file = lr_samples_3.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,n_divergent__,beta_0,beta_1,beta_2,ys.1,ys.2,ys.3,ys.4
# Adaptation terminated
# Step size = 0.340816
# Diagonal elements of inverse mass matrix:
# 3.07457, 1.41253, 1.25588

-3.07414,0.994939,0.340816,3,7,0,-1.38107,0.38182,-0.565186,0.532735,0.486943,0.486943,0.532735
-2.79731,0.976951,0.340816,4,15,0,-0.238268,0.0514581,-0.199686,0.552941,0.516078,0.516078,0.552941
-4.82639,0.735454,0.340816,3,7,0,-2.24389,-0.432334,-0.843154,0.270928,0.0940288,0.0940288,0.270928
-3.22979,0.998353,0.340816,3,7,0,-1.57634,0.764145,-0.4649,0.529368,0.60273,0.60273,0.529368
-3.15053,0.998403,0.340816,4,15,0,1.3725,-0.737283,0.0554777,0.628144,0.460696,0.460696,0.628144
-3.23888,0.953329,0.340816,4,11,0,-1.34162,-0.0811613,-0.632217,0.460495,0.294895,0.294895,0.460495
-4.08964,0.836885,0.340816,2,3,0,-1.54993,-0.259967,-0.327672,0.239658,0.149035,0.149035,0.239658
-4.1423,0.998484,0.340816,4,15,0,-0.659861,1.27572,-0.154121,0.715877,0.885512,0.885512,0.715877
-3.52393,1,0.340816,2,3,0,-0.440646,1.02868,0.0719796,0.609231,0.824153,0.824153,0.609231
-3.11073,0.968218,0.340816,3,7,0,-1.18423,0.645074,0.0649512,0.338708,0.51024,0.51024,0.338708
-4.45087,0.763241,0.340816,2,3,0,-1.22421,-0.32344,0.0762554,0.154445,0.124843,0.124843,0.154445
-3.00283,1,0.340816,2,3,0,-1.10681,0.441591,-0.451938,0.559382,0.55683,0.55683,0.559382
-3.08139,0.929279,0.340816,2,3,0,-0.542887,0.402076,-0.416406,0.666412,0.663219,0.663219,0.666412
-3.08139,0.651189,0.340816,2,3,0,-0.542887,0.402076,-0.416406,0.666412,0.663219,0.663219,0.666412
-3.08139,0.266586,0.340816,2,3,0,-0.542887,0.402076,-0.416406,0.666412,0.663219,0.663219,0.666412
