# stan_version_major = 2
# stan_version_minor = 14
# stan_version_patch = 0
# model = negativebinomial_model
# method = sample (Default)
#   sample
#     num_samples = 1000 (Default)
#     num_warmup = 1000 (Default)
#     save_warmup = 0 (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = 1 (Default)
#       gamma = 0.050000000000000003 (Default)
#       delta = 0.80000000000000004 (Default)
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 1
# id = 1
# data
#   file = negativebinomial_1.data.R
# init = 2 (Default)
# random
#   seed = 2863632350
# output
#   file = negativebinomial_samples_1.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,alpha,beta
# Adaptation terminated
# Step size = 0.675461
# Diagonal elements of inverse mass matrix:
# 0.178281, 0.201626
-22.4433,0.932562,0.675461,2,7,0,23.2959,0.549344,0.5103
-22.4486,0.740449,0.675461,3,11,0,23.2993,0.655343,0.282266
-22.0302,1,0.675461,2,3,0,22.4476,0.621898,0.362754
-22.6697,0.969824,0.675461,1,3,0,22.977,0.493351,0.286886
-21.6867,0.998049,0.675461,3,7,0,22.9137,0.831743,0.447226
-21.7351,0.99355,0.675461,3,7,0,21.9018,1.03842,0.549594
-21.7228,0.952773,0.675461,1,3,0,22.4923,0.729326,0.459548
-21.7228,0.5,0.675461,0,1,1,26.0137,0.729326,0.459548
-21.7779,0.978965,0.675461,1,3,0,21.9841,0.78438,0.566598
-21.8501,0.979218,0.675461,1,3,0,22.3699,1.09197,0.629064
-22.7874,0.846561,0.675461,2,7,0,23.8207,0.460809,0.295988
-23.3482,0.992395,0.675461,2,3,0,23.4217,0.399397,0.250274
-25.5068,0.826912,0.675461,2,3,0,26.8829,0.236024,0.220475
-24.4434,0.979176,0.675461,2,3,0,26.4252,0.827314,0.196197
-22.0307,1,0.675461,3,7,0,26.7467,0.881904,0.377923
-22.2337,0.780422,0.675461,2,3,0,23.1385,0.819327,0.688096
-22.5841,0.967471,0.675461,2,3,0,22.6498,1.15537,0.416471
-23.7101,0.897434,0.675461,2,3,0,24.2647,0.371555,0.43609
-22.1883,0.995641,0.675461,2,7,0,23.7576,0.555824,0.390348
-22.808,0.928681,0.675461,1,3,0,23.4869,0.570357,0.244562
-21.8671,0.97795,0.675461,2,3,0,23.059,0.655297,0.451118
-22.3255,0.938281,0.675461,3,7,0,23.55,0.535457,0.341877
-21.7659,0.950322,0.675461,2,7,0,22.8922,1.06405,0.559439
-21.7448,0.866108,0.675461,2,3,0,22.3753,1.04701,0.553316
-21.6545,0.980776,0.675461,2,3,0,21.8941,0.869935,0.47432
-21.6545,0.873145,0.675461,1,3,0,22.3524,0.869935,0.47432
-21.9062,0.87046,0.675461,2,3,0,22.5551,1.13267,0.542992
-22.0877,0.84491,0.675461,2,7,0,22.7512,0.584822,0.382976
-21.6772,0.866177,0.675461,2,3,0,23.4492,0.788391,0.453146
-21.6885,0.955982,0.675461,3,7,0,21.9592,0.768162,0.451903
-21.6602,0.99863,0.675461,2,3,0,21.7078,0.841507,0.463721
-22.1636,0.965649,0.675461,2,3,0,22.2763,1.22961,0.689468
-22.1773,0.840705,0.675461,2,3,0,22.7033,1.17594,0.4916
-22.1084,0.988897,0.675461,3,7,0,23.1356,0.847833,0.356474
-22.9646,0.617122,0.675461,2,5,1,24.6044,0.437966,0.421229
-22.0831,1,0.675461,2,3,0,22.8377,0.675451,0.334553
-22.1248,0.992893,0.675461,3,7,0,22.1858,0.729796,0.330033
-22.0001,0.989294,0.675461,2,7,0,22.4422,0.908607,0.673078
-22.9895,0.931092,0.675461,2,3,0,23.1011,1.51616,0.583343
-23.5781,0.801725,0.675461,2,3,0,24.3779,0.460406,0.594735
-22.1799,0.759852,0.675461,2,7,0,24.2586,0.747657,0.644774
-21.6718,1,0.675461,1,3,0,22.0272,0.810334,0.532178
-22.1799,0.921242,0.675461,2,7,0,22.9938,1.28549,0.614303
-22.1799,0.343041,0.675461,2,3,0,23.5873,1.28549,0.614303
-22.4678,0.946855,0.675461,1,1,0,22.5447,1.37635,0.590875
-22.4678,0.500037,0.675461,1,1,0,23.6187,1.37635,0.590875
-22.4678,0.5,0.675461,1,1,0,23.6011,1.37635,0.590875
-22.4678,0.5,0.675461,0,1,1,24.0926,1.37635,0.590875
-23.1788,0.920362,0.675461,1,1,0,23.2328,1.34761,0.834726
-23.1788,0.5,0.675461,0,1,1,25.5621,1.34761,0.834726
-25.1648,0.835982,0.675461,1,1,0,25.1994,2.06896,0.660247
-22.6005,1,0.675461,1,1,0,24.2452,1.43616,0.693557
-25.4716,0.611467,0.675461,1,1,0,25.6268,1.96018,0.544201
-22.2139,1,0.675461,1,1,0,24.1279,1.30022,0.62048
-22.2139,0.514031,0.675461,1,1,0,25.6233,1.30022,0.62048
-22.5334,0.909187,0.675461,2,7,0,23.5817,0.487872,0.385791
-23.1098,0.902366,0.675461,2,3,0,24.0446,0.499359,0.575915
-21.8454,0.738256,0.675461,2,5,0,25.1844,1.08883,0.628198
-22.144,0.459925,0.675461,3,7,0,22.8917,0.700083,0.324513
-23.0835,0.972778,0.675461,2,3,0,23.2154,0.499539,0.226293
-22.3122,0.978602,0.675461,2,3,0,23.5134,0.579295,0.309832
-21.6642,0.965365,0.675461,2,3,0,22.6115,0.800346,0.517189
-21.8499,0.978005,0.675461,2,3,0,21.8962,0.977303,0.450059
-24.6926,0.596763,0.675461,2,3,0,24.9452,0.682615,0.869729
-21.6888,1,0.675461,1,1,0,24.0447,0.813008,0.444037
-21.8037,0.969598,0.675461,1,3,0,21.9189,0.743271,0.545784
-21.8933,0.981956,0.675461,1,3,0,22.3484,0.649982,0.404841
-21.6449,0.946601,0.675461,3,9,0,22.187,0.877528,0.484391
-21.8554,0.967709,0.675461,3,11,0,21.9363,0.842041,0.398081
-21.9594,0.970451,0.675461,1,3,0,22.3067,0.621173,0.407809
-21.9464,0.931904,0.675461,2,5,0,22.3232,0.834775,0.378294
-21.9739,0.298453,0.675461,2,7,0,23.3223,1.17593,0.560056
-21.7929,1,0.675461,2,3,0,21.9721,0.931525,0.625646
-22.3921,0.880147,0.675461,2,7,0,22.9541,0.640071,0.606903
-24.6252,0.693921,0.675461,2,3,0,24.8836,0.576022,0.817871
-23.5208,1,0.675461,2,5,0,24.8889,0.464422,0.59197
-23.1817,1,0.675461,1,1,0,23.6521,0.465013,0.535244
-23.1817,0.733488,0.675461,1,1,0,24.9179,0.465013,0.535244
-27.336,0.679525,0.675461,2,3,0,27.4567,0.356871,0.828627
-27.336,0.19203,0.675461,3,7,0,31.074,0.356871,0.828627
-26.398,1,0.675461,2,3,0,27.8121,0.602888,0.103378
-27.5034,0.742873,0.675461,2,3,0,30.734,0.372712,0.0632222
-25.1258,0.987914,0.675461,3,7,0,27.9832,0.263398,0.190998
-24.6727,0.846522,0.675461,2,6,1,25.9997,0.628903,0.150846
-24.3383,0.857143,0.675461,2,6,1,25.3172,0.300622,0.309899
-22.3851,0.983124,0.675461,3,7,0,24.2678,0.842305,0.322124
-23.9113,0.572855,0.675461,3,7,0,24.3146,0.92707,0.878605
-22.0354,1,0.675461,1,1,0,23.4083,1.12184,0.488433
-23.4085,0.649571,0.675461,2,3,0,23.7663,1.26352,0.861309
-23.4085,0.274202,0.675461,2,3,0,25.9676,1.26352,0.861309
-26.9555,0.356978,0.675461,3,7,0,27.1111,2.4955,0.768319
-26.9555,0.5,0.675461,0,1,1,29.0978,2.4955,0.768319
-24.1363,1,0.675461,2,7,0,26.4568,0.325655,0.384029
-23.8335,0.970673,0.675461,2,7,0,25.461,1.31423,0.373214
-22.2689,0.930376,0.675461,2,3,0,24.8882,0.758948,0.666875
-22.2689,0.5,0.675461,1,1,0,24.8197,0.758948,0.666875
-21.912,1,0.675461,1,1,0,22.2225,0.744041,0.581996
-23.3391,0.8792,0.675461,3,7,0,24.1102,0.40604,0.243354
-23.9537,0.994359,0.675461,2,3,0,24.132,0.444468,0.168963
-21.8391,0.992796,0.675461,3,7,0,25.1103,0.666145,0.449036
-21.6968,0.993821,0.675461,3,7,0,22.171,0.963842,0.586207
-22.277,0.90038,0.675461,2,7,0,22.7155,0.541133,0.427729
-22.3003,0.943921,0.675461,2,3,0,23.1296,0.605499,0.551657
-22.9927,0.96834,0.675461,2,3,0,23.2669,1.48811,0.557137
-22.3507,1,0.675461,2,3,0,22.8414,1.34568,0.603949
-23.0023,0.43535,0.675461,2,3,0,24.7279,0.683804,0.237739
-22.1126,0.9873,0.675461,2,7,0,22.9302,0.590939,0.469276
-22.7741,0.954273,0.675461,2,3,0,23.2254,1.36605,0.506704
-22.4052,1,0.675461,2,3,0,22.8326,1.34429,0.574742
-22.4052,0.5,0.675461,1,1,0,23.9988,1.34429,0.574742
-23.288,0.841196,0.675461,2,5,0,23.7477,0.387237,0.325828
-22.9662,0.915755,0.675461,3,7,0,24.4821,1.42851,0.51737
-22.3629,1,0.675461,2,3,0,22.936,1.27373,0.520447
-22.8019,0.706646,0.675461,2,3,0,23.1142,1.47353,0.738974
-22.4705,1,0.675461,1,1,0,22.8255,1.39962,0.65186
-22.3757,0.978216,0.675461,2,3,0,22.6842,1.15758,0.753009
-22.0981,0.978447,0.675461,2,7,0,23.024,0.815946,0.662753
-21.6728,0.962718,0.675461,2,7,0,22.3798,0.787461,0.457477
-21.7834,0.977879,0.675461,2,7,0,22.0171,0.996261,0.480213
-21.737,1,0.675461,2,3,0,21.777,0.863779,0.590292
-21.6341,0.996089,0.675461,2,3,0,21.7492,0.885025,0.499891
-21.9993,0.960486,0.675461,2,7,0,22.3449,0.81695,0.36487
-21.7905,0.996863,0.675461,2,7,0,21.9703,0.73933,0.536732
-21.7287,0.988488,0.675461,3,7,0,21.9612,1.03416,0.571869
-21.9506,0.7305,0.675461,2,3,0,22.8,0.864648,0.385864
-23.5139,1,0.675461,2,3,0,24.328,1.07097,0.306343
-22.7122,0.833333,0.675461,2,5,1,24.1213,0.469645,0.30536
-23.5145,0.983148,0.675461,3,7,0,23.6324,1.72107,0.710431
-21.6602,0.670198,0.675461,2,7,0,24.0839,0.789077,0.473845
-21.6366,0.997725,0.675461,1,3,0,21.7032,0.872409,0.491156
-21.7218,0.989825,0.675461,1,3,0,21.866,0.760745,0.430508
-21.9257,0.951797,0.675461,1,3,0,22.0971,0.709273,0.558472
-21.7929,0.996115,0.675461,1,3,0,22.0783,0.68782,0.442518
